user_id,item_id,rating,volume_shipped,frequency,total_spend
U0001,LANEI0078,5.0,2.104,9.0,14353.82
U0001,LANEI0546,5.0,1.044,5.0,13491.17
U0001,LANEI0381,5.0,11.524,14.0,2055.32
U0001,LANEI0914,5.0,3.765,10.0,7567.99
U0001,LANEI0098,4.0,12.286,5.0,7013.73
U0001,LANEI0041,5.0,0.941,14.0,8042.4
U0001,LANEI0210,5.0,0.665,13.0,38534.84
U0001,LANEI0954,5.0,2.307,7.0,6925.48
U0001,LANEI0780,5.0,0.07,8.0,55917.89
U0001,LANEI0793,5.0,0.402,9.0,33252.92
U0002,LANEI1048,5.0,0.315,8.0,84787.81
U0002,LANEI0114,5.0,1.226,8.0,25050.95
U0002,LANEI0768,5.0,0.11,16.0,51546.13
U0002,LANEI0165,5.0,13.363,7.0,27306.3
U0002,LANEI0701,5.0,8.081,12.0,11677.33
U0002,LANEI0046,5.0,1.335,8.0,9040.64
U0002,LANEI0278,5.0,0.57,17.0,23022.03
U0002,LANEI0272,5.0,0.205,12.0,16900.86
U0002,LANEI0046,5.0,1.056,12.0,14338.0
U0002,LANEI0161,5.0,0.743,8.0,3047.38
U0003,LANEI0952,5.0,10.79,4.0,15121.69
U0003,LANEI0610,5.0,0.723,9.0,22180.38
U0003,LANEI0052,5.0,13.071,10.0,12702.99
U0003,LANEI0333,5.0,0.662,12.0,47615.4
U0003,LANEI0681,5.0,0.752,10.0,15237.92
U0003,LANEI0377,5.0,15.33,14.0,5368.66
U0003,LANEI0950,5.0,14.666,11.0,10881.28
U0003,LANEI0699,5.0,4.984,10.0,4586.41
U0003,LANEI0827,5.0,0.115,7.0,42543.25
U0003,LANEI0917,5.0,2.644,7.0,2757.74
U0004,LANEI0859,5.0,0.524,7.0,38836.48
U0004,LANEI0469,5.0,0.802,11.0,7468.17
U0004,LANEI0724,5.0,1.163,7.0,10553.49
U0004,LANEI0464,5.0,18.716,11.0,3206.74
U0004,LANEI0247,5.0,0.288,12.0,16360.73
U0004,LANEI0592,5.0,8.803,11.0,14290.79
U0004,LANEI0034,5.0,0.058,11.0,21012.43
U0004,LANEI0501,5.0,18.528,9.0,4535.76
U0004,LANEI0573,5.0,1.503,8.0,4657.45
U0004,LANEI1154,5.0,0.056,8.0,21351.84
U0005,LANEI0497,5.0,0.775,9.0,36171.08
U0005,LANEI0309,5.0,1.644,11.0,7313.46
U0005,LANEI0186,5.0,14.837,12.0,10091.28
U0005,LANEI0828,5.0,1.31,10.0,10476.07
U0005,LANEI0761,5.0,0.567,9.0,2388.93
U0005,LANEI0064,5.0,1.239,14.0,6379.43
U0005,LANEI0551,5.0,0.087,13.0,37892.02
U0005,LANEI0479,4.0,14.951,10.0,16672.87
U0005,LANEI0144,5.0,2.784,14.0,13486.58
U0005,LANEI0149,5.0,0.883,7.0,5722.16
U0006,LANEI1183,5.0,0.688,4.0,6674.2
U0006,LANEI0687,5.0,0.903,5.0,9198.24
U0006,LANEI0875,5.0,2.123,8.0,51383.87
U0006,LANEI0167,5.0,3.701,9.0,8648.26
U0006,LANEI1067,5.0,6.873,10.0,8372.68
U0006,LANEI0287,5.0,0.102,8.0,28465.41
U0006,LANEI0731,5.0,1.607,11.0,17880.35
U0006,LANEI0921,5.0,3.303,11.0,2368.58
U0006,LANEI0497,5.0,0.547,10.0,6909.98
U0006,LANEI0316,5.0,0.479,7.0,12623.11
U0007,LANEI0456,5.0,3.157,9.0,12508.85
U0007,LANEI0828,5.0,1.381,12.0,6091.85
U0007,LANEI0378,5.0,1.815,6.0,19816.87
U0007,LANEI0839,5.0,1.065,6.0,15417.66
U0007,LANEI0756,5.0,13.016,9.0,6951.68
U0007,LANEI1179,5.0,10.807,13.0,4444.78
U0007,LANEI0709,5.0,0.644,10.0,7430.56
U0007,LANEI0007,5.0,0.594,14.0,7881.01
U0007,LANEI0851,5.0,1.768,13.0,9931.7
U0007,LANEI0147,5.0,0.586,13.0,18880.52
U0008,LANEI0262,5.0,2.891,10.0,5392.9
U0008,LANEI0531,5.0,1.377,9.0,3834.7
U0008,LANEI0054,5.0,16.819,8.0,14243.78
U0008,LANEI0588,5.0,1.598,7.0,3705.77
U0008,LANEI0500,5.0,0.562,10.0,6465.84
U0008,LANEI1109,5.0,15.079,10.0,6316.07
U0008,LANEI0985,5.0,1.03,15.0,31664.21
U0008,LANEI0712,5.0,0.21,15.0,49398.88
U0008,LANEI0744,5.0,2.304,12.0,18490.56
U0008,LANEI0495,5.0,7.44,7.0,3536.83
U0009,LANEI0406,5.0,1.233,12.0,7933.84
U0009,LANEI0878,5.0,1.252,4.0,3858.1
U0009,LANEI0339,5.0,2.399,9.0,21315.85
U0009,LANEI0922,5.0,0.436,10.0,27873.14
U0009,LANEI0822,5.0,0.1,9.0,17386.27
U0009,LANEI0473,5.0,0.177,6.0,36814.2
U0009,LANEI0602,5.0,0.05,12.0,39330.61
U0009,LANEI0634,4.0,8.413,4.0,6342.51
U0009,LANEI0704,5.0,1.462,9.0,24316.59
U0009,LANEI0054,5.0,9.508,10.0,13575.8
U0010,LANEI0007,5.0,0.431,11.0,30033.58
U0010,LANEI1010,5.0,17.034,12.0,7909.99
U0010,LANEI0613,5.0,0.88,9.0,33805.13
U0010,LANEI0883,5.0,2.105,5.0,8026.55
U0010,LANEI0859,5.0,0.47,16.0,27129.59
U0010,LANEI0177,5.0,3.304,8.0,9185.03
U0010,LANEI1134,5.0,2.511,11.0,1583.06
U0010,LANEI0381,5.0,15.337,10.0,3280.39
U0010,LANEI1123,5.0,2.389,10.0,6297.22
U0010,LANEI0295,5.0,2.443,10.0,5542.99
U0011,LANEI0820,5.0,9.396,7.0,5711.33
U0011,LANEI0989,5.0,0.735,8.0,12096.17
U0011,LANEI0715,5.0,1.018,16.0,1790.28
U0011,LANEI0843,5.0,0.548,8.0,7993.63
U0011,LANEI0057,5.0,1.748,7.0,3613.08
U0011,LANEI0102,5.0,0.954,8.0,16689.51
U0011,LANEI0320,5.0,1.072,10.0,4578.71
U0011,LANEI0077,5.0,1.279,8.0,4196.97
U0011,LANEI0460,5.0,2.583,7.0,4984.22
U0011,LANEI0256,5.0,1.343,8.0,6935.92
U0012,LANEI1027,4.0,14.088,10.0,20562.36
U0012,LANEI0422,5.0,8.383,9.0,8136.56
U0012,LANEI0061,5.0,0.783,6.0,38843.08
U0012,LANEI0434,5.0,1.64,11.0,11070.17
U0012,LANEI0129,5.0,0.536,15.0,44412.38
U0012,LANEI1099,5.0,17.202,11.0,3261.97
U0012,LANEI0522,5.0,0.309,10.0,8441.65
U0012,LANEI0812,4.0,6.627,6.0,17452.45
U0012,LANEI1021,5.0,0.413,10.0,19023.76
U0012,LANEI0991,5.0,1.902,6.0,16584.7
U0013,LANEI0286,5.0,0.862,12.0,16998.3
U0013,LANEI0354,5.0,0.632,12.0,30096.66
U0013,LANEI1001,5.0,1.356,8.0,4527.22
U0013,LANEI0806,5.0,0.916,10.0,6715.93
U0013,LANEI0196,5.0,1.52,9.0,4255.41
U0013,LANEI0854,5.0,3.082,10.0,2641.56
U0013,LANEI0527,5.0,1.773,6.0,14313.77
U0013,LANEI0474,5.0,0.976,11.0,17554.81
U0013,LANEI1178,5.0,0.975,12.0,5590.86
U0013,LANEI0863,5.0,11.568,7.0,7210.8
U0014,LANEI0940,5.0,3.562,5.0,12263.69
U0014,LANEI0854,5.0,2.998,12.0,3247.32
U0014,LANEI0795,5.0,3.401,10.0,1976.95
U0014,LANEI0746,5.0,1.648,7.0,8667.32
U0014,LANEI0262,5.0,1.625,10.0,15651.87
U0014,LANEI1185,5.0,1.527,13.0,11434.14
U0014,LANEI0110,5.0,3.238,13.0,8565.66
U0014,LANEI0118,5.0,3.072,4.0,6859.59
U0014,LANEI0209,5.0,3.17,17.0,13989.1
U0014,LANEI0788,5.0,18.298,11.0,7045.75
U0015,LANEI0188,5.0,1.642,9.0,1542.71
U0015,LANEI0533,5.0,19.053,10.0,12449.24
U0015,LANEI0214,5.0,0.755,14.0,12369.43
U0015,LANEI0056,5.0,1.436,9.0,54544.29
U0015,LANEI0407,5.0,2.352,7.0,6390.07
U0015,LANEI0091,5.0,15.405,7.0,11386.99
U0015,LANEI1053,5.0,4.11,9.0,19023.37
U0015,LANEI0399,5.0,1.899,8.0,2408.51
U0015,LANEI0098,4.0,13.397,5.0,9291.8
U0015,LANEI0681,5.0,1.066,7.0,17544.91
U0016,LANEI0579,5.0,0.97,8.0,12069.92
U0016,LANEI0643,5.0,7.686,10.0,13418.53
