user_id,item_id,rating,orders_fulfilled,storage_units,throughput_units
U0001,WARI0042,5.0,37,10,11
U0001,WARI0028,5.0,34,10,10
U0001,WARI0116,5.0,26,10,10
U0001,WARI0095,5.0,33,10,10
U0001,WARI1188,4.0,28,10,10
U0001,WARI0612,5.0,29,10,10
U0001,WARI0682,5.0,48,10,10
U0001,WARI0740,5.0,33,10,10
U0001,WARI0924,5.0,32,10,10
U0001,WARI0031,5.0,29,10,10
U0002,WARI0701,5.0,20,10,10
U0002,WARI1003,5.0,24,10,10
U0002,WARI0525,5.0,26,10,10
U0002,WARI0941,5.0,49,10,10
U0002,WARI0089,5.0,28,10,10
U0002,WARI0763,5.0,30,10,10
U0002,WARI0594,5.0,38,10,10
U0002,WARI0167,5.0,26,10,10
U0002,WARI0837,5.0,34,10,10
U0002,WARI0304,5.0,28,10,10
U0003,WARI0324,5.0,45,10,10
U0003,WARI0427,5.0,27,10,10
U0003,WARI0379,5.0,24,10,10
U0003,WARI0489,5.0,28,10,10
U0003,WARI0686,1.0,19,10,10
U0003,WARI0532,3.0,19,10,10
U0003,WARI0295,5.0,31,10,10
U0003,WARI0269,5.0,31,10,10
U0003,WARI0622,5.0,33,10,10
U0003,WARI0577,5.0,16,10,10
U0004,WARI0113,5.0,25,10,10
U0004,WARI0179,5.0,29,10,10
U0004,WARI0947,5.0,30,10,10
U0004,WARI0276,5.0,42,10,11
U0004,WARI0993,5.0,29,10,10
U0004,WARI1106,5.0,44,10,10
U0004,WARI0205,5.0,31,10,10
U0004,WARI0428,5.0,27,10,10
U0004,WARI0842,2.0,31,10,10
U0004,WARI0052,5.0,30,10,10
U0005,WARI0685,5.0,33,10,10
U0005,WARI0448,5.0,38,10,10
U0005,WARI0581,5.0,34,10,10
U0005,WARI0853,5.0,42,10,10
U0005,WARI0548,5.0,44,10,10
U0005,WARI0358,5.0,27,10,10
U0005,WARI0578,5.0,30,10,10
U0005,WARI0788,5.0,19,10,10
U0005,WARI0373,5.0,29,10,10
U0005,WARI0591,5.0,25,10,10
U0006,WARI0822,5.0,30,10,10
U0006,WARI1077,5.0,29,10,10
U0006,WARI0169,5.0,31,10,10
U0006,WARI0229,4.0,28,10,10
U0006,WARI0832,3.0,18,10,10
U0006,WARI0558,5.0,18,10,10
U0006,WARI1083,5.0,40,10,10
U0006,WARI0375,5.0,38,10,10
U0006,WARI1090,5.0,28,10,10
U0006,WARI0608,5.0,19,10,10
U0007,WARI0522,5.0,18,10,10
U0007,WARI0658,5.0,39,10,10
U0007,WARI0140,5.0,45,10,10
U0007,WARI0715,5.0,24,10,10
U0007,WARI1159,5.0,31,10,10
U0007,WARI0304,5.0,27,11,10
U0007,WARI1096,5.0,28,10,10
U0007,WARI0836,5.0,30,10,10
U0007,WARI0266,5.0,20,10,10
U0007,WARI0598,5.0,32,10,10
U0008,WARI0337,5.0,22,10,10
U0008,WARI1168,5.0,31,10,10
U0008,WARI0748,5.0,40,10,10
U0008,WARI1148,5.0,32,10,10
U0008,WARI0321,5.0,27,10,10
U0008,WARI0163,5.0,24,10,10
U0008,WARI0781,4.0,38,10,10
U0008,WARI0336,2.0,18,10,10
U0008,WARI0914,5.0,39,10,10
U0008,WARI0438,5.0,20,10,10
U0009,WARI0722,5.0,26,10,10
U0009,WARI0044,5.0,23,10,10
U0009,WARI0518,5.0,20,10,10
U0009,WARI0533,1.0,14,10,10
U0009,WARI0084,5.0,27,10,10
U0009,WARI0019,5.0,24,10,10
U0009,WARI1011,5.0,22,10,10
U0009,WARI0330,3.0,25,10,10
U0009,WARI1096,5.0,27,10,10
U0009,WARI0223,5.0,28,10,10
U0010,WARI0092,5.0,14,10,10
U0010,WARI1184,5.0,29,10,10
U0010,WARI0590,5.0,37,10,10
U0010,WARI0042,5.0,31,10,10
U0010,WARI0782,5.0,26,10,10
U0010,WARI0751,5.0,34,10,10
U0010,WARI0405,5.0,35,11,10
U0010,WARI0500,4.0,28,10,10
U0010,WARI0910,5.0,25,10,10
U0010,WARI0622,5.0,35,10,10
U0011,WARI0498,5.0,33,10,10
U0011,WARI1130,5.0,31,10,10
