item_id,material_id,material_type,spec_grade,unit,supplier_id,category,lead_time_days,min_order_qty,price_per_unit,shelf_life_days,substitute_ids,bom_parent_sku
MATI0001,MAT0001,glass,Grade A,box,SUP0426,raw,17.696560444183707,15,91.24,1032.5217811334776,"MAT0847,MAT0989,MAT0801",SKU0876
MATI0002,MAT0002,plastic,Premium,kg,SUP0926,consumable,20.31315622789029,75,140.01,559.0836682318578,MAT0938,SKU0355
MATI0003,MAT0003,textile,Grade C,meter,SUP0393,consumable,16.62776780956321,16,73.98,304.5696985444106,"MAT0708,MAT0366",SKU0788
MATI0004,MAT0004,steel,Grade A,g,SUP0265,component,18.254335837251624,12,67.3,1103.5986314456982,"MAT0520,MAT0219,MAT0697",SKU1117
MATI0005,MAT0005,plastic,Grade A,liter,SUP0560,sub-assembly,41.50697303374467,17,120.63,703.108000251528,MAT0511,SKU0227
MATI0006,MAT0006,chem_pack,Grade A,kg,SUP0031,consumable,18.189662628873943,24,135.29,123.03446862681713,"MAT0252,MAT0593,MAT0567",SKU0755
MATI0007,MAT0007,steel,Premium,liter,SUP0273,pack,2.9753025203516072,2,93.64,1011.5582240734243,"MAT0875,MAT0505,MAT0705",SKU1007
MATI0008,MAT0008,steel,Grade A,meter,SUP0029,pack,11.997828232560767,23,82.1,787.4257889599319,MAT0555,SKU0768
MATI0009,MAT0009,textile,Premium,g,SUP0082,pack,21.22229962211011,3,71.43,232.31700472028797,"MAT0356,MAT0489",SKU1093
MATI0010,MAT0010,glass,Premium,pcs,SUP0917,consumable,9.737394343643409,43,84.06,982.6267052961082,"MAT0020,MAT1034",SKU0098
MATI0011,MAT0011,electronics,Grade A,kg,SUP0030,consumable,22.034753686727452,6,134.95,364.8517490856999,"MAT0919,MAT0711,MAT0334",SKU0981
MATI0012,MAT0012,aluminum,Grade A,kg,SUP0173,raw,26.22215962005349,11,151.58,625.0297080432989,MAT0132,SKU1177
MATI0013,MAT0013,glass,Premium,pcs,SUP0213,pack,8.742958856237337,5,246.09,924.328362084311,"MAT0044,MAT1044",SKU0315
MATI0014,MAT0014,plastic,Grade C,g,SUP0773,sub-assembly,25.873222847538557,53,72.56,581.0884660654506,MAT0435,SKU0919
MATI0015,MAT0015,chem_pack,Premium,meter,SUP0398,pack,32.83881810636602,18,170.78,317.46497968044764,"MAT0103,MAT0378,MAT0943",SKU0827
MATI0016,MAT0016,glass,Premium,meter,SUP0242,component,23.09516670402649,69,29.96,950.0950754320816,"MAT1065,MAT0868,MAT0553",SKU0950
MATI0017,MAT0017,steel,Grade A,g,SUP0881,sub-assembly,7.43054373926557,59,434.17,989.6749091434816,"MAT0537,MAT0839",SKU1152
MATI0018,MAT0018,textile,Grade A,g,SUP0266,pack,34.261751741303776,38,55.42,237.87883630131478,"MAT0028,MAT0445,MAT0201",SKU0630
MATI0019,MAT0019,textile,Premium,liter,SUP1126,sub-assembly,32.65134860825021,7,66.34,437.30320509386274,"MAT0774,MAT0813",SKU0009
MATI0020,MAT0020,chem_pack,Grade A,pcs,SUP0968,pack,28.410163642919684,20,289.53,182.58453895015833,MAT0597,SKU0147
MATI0021,MAT0021,plastic,Premium,box,SUP1061,pack,23.592435153709687,41,51.39,684.4691967492577,"MAT0785,MAT0309,MAT1036",SKU1062
MATI0022,MAT0022,chem_pack,Premium,box,SUP0819,sub-assembly,14.838633375543747,22,198.97,199.66104291903292,"MAT0376,MAT0007",SKU1118
MATI0023,MAT0023,plastic,Grade B,meter,SUP0332,sub-assembly,13.893264783540628,14,53.04,762.9838278390521,MAT0085,SKU0024
MATI0024,MAT0024,glass,Grade B,liter,SUP0786,consumable,22.316966405187905,22,60.17,955.0667347065172,"MAT0573,MAT0393,MAT0112",SKU0933
MATI0025,MAT0025,plastic,Premium,meter,SUP0907,pack,5.925695099346792,23,102.51,500.16748260910174,"MAT0215,MAT0580",SKU1155
MATI0026,MAT0026,plastic,Grade B,kg,SUP1115,sub-assembly,14.26602878957111,7,34.21,710.2004680942676,MAT0759,SKU0149
MATI0027,MAT0027,textile,Grade A,pcs,SUP0062,pack,24.4375213480049,12,78.7,492.469316875209,"MAT1194,MAT0527",SKU0227
MATI0028,MAT0028,glass,Grade C,g,SUP1045,raw,15.520701701965724,26,95.48,1298.5172565653363,"MAT0068,MAT0423,MAT0968",SKU0745
MATI0029,MAT0029,chem_pack,Grade B,g,SUP0974,sub-assembly,29.50072743764727,30,107.12,358.30544931361766,"MAT0486,MAT0867",SKU0571
MATI0030,MAT0030,plastic,Grade C,g,SUP1017,consumable,10.68877508604739,21,420.93,677.8984161197636,"MAT0168,MAT0306,MAT0658",SKU0011
MATI0031,MAT0031,textile,Premium,liter,SUP0241,raw,13.166970016562136,14,105.12,370.3392836500983,"MAT0635,MAT0088,MAT0403",SKU0758
