user_id,item_id,rating,consumption_qty,orders_placed,stockouts,wastage_rate
U0001,MATI0510,5.0,25,8,2,0.0214
U0001,MATI0766,5.0,59,21,4,0.0
U0001,MATI0844,4.0,66,23,3,0.114
U0001,MATI1005,3.0,24,7,3,0.1606
U0001,MATI1162,5.0,26,6,2,0.0
U0001,MATI0415,3.0,25,14,6,0.1076
U0001,MATI0357,5.0,18,9,3,0.0
U0001,MATI0803,5.0,21,9,2,0.0
U0001,MATI0010,5.0,49,23,3,0.0
U0001,MATI0436,4.0,62,11,4,0.067
U0002,MATI0593,4.0,27,14,0,0.073
U0002,MATI0872,5.0,12,5,4,0.0
U0002,MATI0328,5.0,62,26,4,0.0214
U0002,MATI0253,4.0,6,5,8,0.0
U0002,MATI1168,2.0,6,2,6,0.2393
U0002,MATI0910,3.0,13,10,1,0.066
U0002,MATI0516,3.0,6,2,3,0.0965
U0002,MATI0675,5.0,13,7,4,0.0
U0002,MATI0854,3.0,20,7,8,0.1264
U0002,MATI0544,5.0,8,4,4,0.0
U0003,MATI1117,3.0,17,11,6,0.1797
U0003,MATI0293,2.0,8,8,6,0.17
U0003,MATI1035,5.0,51,21,2,0.0
U0003,MATI0889,5.0,28,7,1,0.0
U0003,MATI0718,3.0,5,2,8,0.1081
U0003,MATI0834,5.0,13,5,2,0.0
U0003,MATI0812,5.0,13,4,3,0.0328
U0003,MATI0270,3.0,10,5,5,0.0725
U0003,MATI0784,3.0,5,3,3,0.1625
U0003,MATI0910,3.0,11,10,3,0.0697
U0004,MATI0686,4.0,42,13,2,0.0165
U0004,MATI0322,5.0,11,2,3,0.0
U0004,MATI0148,2.0,21,11,5,0.1377
U0004,MATI1060,3.0,6,5,2,0.125
U0004,MATI0732,3.0,43,16,8,0.1431
U0004,MATI1166,5.0,9,4,3,0.0
U0004,MATI0377,5.0,65,20,2,0.0
U0004,MATI0561,3.0,7,3,4,0.1223
U0004,MATI0674,3.0,17,7,0,0.1245
U0004,MATI0016,5.0,77,40,1,0.0
U0005,MATI0511,4.0,17,7,1,0.1423
U0005,MATI1092,4.0,6,3,5,0.0312
U0005,MATI0085,3.0,13,4,8,0.1039
U0005,MATI1051,2.0,6,1,5,0.2238
U0005,MATI0855,3.0,24,10,6,0.1348
U0005,MATI0775,5.0,18,8,1,0.0
U0005,MATI0239,5.0,20,2,8,0.0225
U0005,MATI0677,3.0,5,3,8,0.0761
U0005,MATI0068,5.0,57,23,3,0.0
U0005,MATI0707,3.0,24,7,3,0.141
U0006,MATI0812,5.0,10,4,3,0.0081
U0006,MATI0570,5.0,34,11,2,0.0
U0006,MATI1051,2.0,3,1,5,0.2242
U0006,MATI0711,5.0,15,8,3,0.0
U0006,MATI0978,2.0,25,7,6,0.1824
U0006,MATI0353,3.0,11,8,2,0.1609
U0006,MATI0712,4.0,40,13,4,0.11
U0006,MATI0640,3.0,25,11,1,0.1109
U0006,MATI0424,2.0,13,8,3,0.2589
U0006,MATI0991,4.0,29,13,3,0.0939
U0007,MATI0030,3.0,16,7,3,0.0829
U0007,MATI0403,3.0,20,7,5,0.1347
U0007,MATI0317,5.0,17,7,4,0.024
U0007,MATI0543,5.0,35,7,3,0.0
U0007,MATI0181,5.0,8,6,3,0.0
U0007,MATI0769,5.0,16,3,2,0.0
U0007,MATI0281,4.0,19,6,2,0.093
U0007,MATI0776,5.0,17,8,3,0.0053
U0007,MATI0786,3.0,3,5,6,0.0923
U0007,MATI0673,3.0,22,8,4,0.0837
U0008,MATI0189,4.0,7,4,6,0.0548
U0008,MATI0911,5.0,20,5,1,0.0
U0008,MATI0288,3.0,6,2,2,0.1922
U0008,MATI0039,2.0,20,5,9,0.1461
U0008,MATI0722,5.0,30,14,3,0.0
U0008,MATI1185,5.0,12,6,4,0.0
U0008,MATI0976,5.0,21,8,2,0.0
U0008,MATI1060,4.0,15,6,3,0.1084
U0008,MATI0287,4.0,17,9,5,0.053
U0008,MATI0118,5.0,22,7,1,0.0
U0009,MATI0757,4.0,8,8,0,0.0877
U0009,MATI0817,5.0,61,22,2,0.0
U0009,MATI0470,3.0,18,7,5,0.1833
U0009,MATI0813,5.0,21,10,3,0.0193
U0009,MATI0956,4.0,36,17,5,0.0
U0009,MATI0333,1.0,4,1,7,0.126
U0009,MATI0915,4.0,23,8,4,0.0694
U0009,MATI0548,5.0,23,8,2,0.0
U0009,MATI0372,5.0,10,5,4,0.027
U0009,MATI0231,5.0,14,5,2,0.059
U0010,MATI1014,5.0,22,2,5,0.0
U0010,MATI0255,4.0,33,14,3,0.0258
U0010,MATI0834,5.0,12,2,1,0.0
U0010,MATI0315,4.0,22,9,1,0.045
U0010,MATI0883,2.0,6,2,5,0.2029
U0010,MATI0425,3.0,9,10,6,0.1483
U0010,MATI0537,5.0,21,7,5,0.0607
U0010,MATI0483,1.0,7,5,5,0.2659
U0010,MATI0941,4.0,42,22,4,0.0912
U0010,MATI0392,4.0,16,4,5,0.124
U0011,MATI1184,2.0,7,9,5,0.13
U0011,MATI0386,5.0,24,17,0,0.0
U0011,MATI0981,2.0,6,2,6,0.2457
U0011,MATI1005,2.0,18,8,8,0.1675
U0011,MATI0889,5.0,21,11,1,0.0
U0011,MATI0781,3.0,15,7,5,0.1763
U0011,MATI0156,3.0,63,22,6,0.0745
U0011,MATI0867,2.0,20,6,9,0.2225
U0011,MATI0014,4.0,48,27,6,0.1679
U0011,MATI0762,5.0,19,15,0,0.0
U0012,MATI0484,2.0,5,6,3,0.1509
U0012,MATI0896,3.0,8,9,6,0.1264
U0012,MATI0869,4.0,28,8,0,0.061
