item_id,sku_id,category,brand,subcategory,unit,lead_time_days,min_order_qty,reorder_point,safety_stock,weight_kg,volume_cbm,supplier_id,material_ids,abc_class,demand_volatility,price,cost
SKUI0001,SKU0001,kit,Zenith,premium,kg,21.600957530845903,24,4,5,14.115750431773451,2.189808135682493,SUP0100,"MAT0766,MAT0867,MAT0201,MAT0185,MAT1198,MAT1062",B,low,16.89,12.5
SKUI0002,SKU0002,kit,Vertex,economy,box,20.4907510183305,10,2,2,7.919127619327917,1.3860971368489439,SUP0032,"MAT0032,MAT0230,MAT1013,MAT0784",A,low,38.05,20.06
SKUI0003,SKU0003,assembly,Zenith,premium,pcs,19.093907338068615,22,7,6,11.23010752963916,0.7332993014962832,SUP0076,"MAT0787,MAT0327,MAT0346",A,high,20.36,11.67
SKUI0004,SKU0004,kit,Zenith,industrial,meter,17.23060442508429,8,2,2,11.256102607418047,1.5922294525523313,SUP0319,"MAT0730,MAT1068,MAT0785,MAT0472",C,medium,10.37,5.8
SKUI0005,SKU0005,kit,Orion,retail,kg,15.686928048494497,1,1,1,24.297895304785325,2.956959662206374,SUP0032,"MAT0327,MAT0503,MAT0712,MAT0034,MAT0784,MAT0022,MAT0066",C,low,8.63,5.36
SKUI0006,SKU0006,consumable,Cobalt,standard,box,15.746388779516833,6,1,1,13.78338015119431,1.9750348443717265,SUP0048,"MAT0756,MAT0134,MAT0149,MAT0277,MAT0295,MAT0501,MAT0454",C,low,8.3,5.79
SKUI0007,SKU0007,finished,Nova,standard,box,16.790283184411255,5,2,1,11.539672822491033,1.0018039046306728,SUP0265,"MAT0152,MAT0004,MAT0240,MAT0738",A,high,20.06,14.51
SKUI0008,SKU0008,kit,Orion,standard,box,21.720313858488012,4,1,1,14.7410950875959,1.9279450462293022,SUP0088,"MAT0207,MAT0701,MAT0084,MAT0711,MAT1067,MAT0032",C,high,26.5,15.15
SKUI0009,SKU0009,spares,Zenith,economy,kg,19.30751218014357,11,3,3,14.252216640400409,0.6892826743723557,SUP0042,"MAT0075,MAT0154,MAT0495,MAT0019",B,medium,44.51,25.61
SKUI0010,SKU0010,assembly,Kite,standard,meter,24.27400896439601,4,1,1,8.339288687444478,1.6143802606727657,SUP0153,"MAT0213,MAT0419,MAT1200,MAT0390,MAT0749",A,low,17.81,11.08
SKUI0011,SKU0011,kit,Nova,industrial,box,15.381164224882264,3,1,1,10.755492855344192,1.5749853755430345,SUP0221,"MAT0030,MAT1020,MAT0023",A,high,20.74,14.84
SKUI0012,SKU0012,consumable,Astra,premium,meter,19.66902544097649,5,1,1,12.546385483761487,1.2241261764443672,SUP0460,"MAT0576,MAT0266,MAT0558,MAT0164,MAT0559",A,low,9.02,4.28
SKUI0013,SKU0013,kit,Orion,retail,kg,21.175679314826837,15,4,4,15.632366978064894,1.8079370876894367,SUP0058,"MAT0814,MAT0607,MAT0373,MAT0635,MAT0189,MAT0219",B,medium,100.26,74.37
SKUI0014,SKU0014,kit,Cobalt,industrial,box,18.778842382514384,7,2,2,17.805720839742225,2.961044786100125,SUP0021,"MAT0218,MAT0813,MAT1141,MAT0145,MAT0924,MAT0982",C,high,15.37,10.46
SKUI0015,SKU0015,assembly,Astra,economy,meter,16.671847000308333,4,1,1,22.49925438742092,2.8057711859470924,SUP0475,"MAT1047,MAT0129,MAT0970,MAT0715,MAT0457,MAT1187,MAT0124",C,low,14.19,8.33
SKUI0016,SKU0016,finished,Cobalt,economy,pcs,20.525860705276184,6,2,2,9.037851268507408,1.3655914092892203,SUP0282,"MAT0236,MAT0694,MAT0615",B,high,9.38,5.94
SKUI0017,SKU0017,finished,Nova,economy,pcs,26.973630451933623,18,3,4,18.91356710953755,1.1177659461001823,SUP0050,"MAT0583,MAT0439,MAT0651,MAT0999,MAT0298,MAT1045",B,low,8.47,6.26
SKUI0018,SKU0018,finished,Cobalt,standard,box,20.762585195778257,11,2,2,26.314075531301338,2.007898836345867,SUP0399,"MAT0861,MAT1154,MAT0393,MAT0664,MAT0839,MAT0680,MAT0761",B,low,27.89,14.23
SKUI0019,SKU0019,finished,Nova,economy,pcs,11.062574739266589,12,3,3,10.10781788651138,3.043154581045656,SUP0207,"MAT0878,MAT0322,MAT1108,MAT0718,MAT0130,MAT0353",B,medium,11.71,8.58
SKUI0020,SKU0020,spares,Zenith,retail,meter,18.41585980720398,11,3,3,14.102895647810334,2.186730476079337,SUP0403,"MAT0755,MAT0017,MAT0163,MAT0812,MAT0104",C,medium,8.97,4.54
SKUI0021,SKU0021,finished,Vertex,standard,kg,24.683171962232414,2,1,1,13.148868112575473,1.2585043442776065,SUP0173,"MAT0873,MAT0414,MAT0727,MAT0467",B,low,17.48,12.91
SKUI0022,SKU0022,assembly,Astra,standard,box,31.922338463749618,7,2,2,13.63492653507608,0.8291347369136406,SUP0157,"MAT0547,MAT0774,MAT0808,MAT0190",A,high,24.31,11.04
SKUI0023,SKU0023,consumable,Astra,premium,box,20.139625431646422,16,4,4,18.275270029461794,4.212666156164643,SUP0203,"MAT0823,MAT1010,MAT0186,MAT0366,MAT1065,MAT0243,MAT0864",B,medium,29.57,19.59
SKUI0024,SKU0024,kit,Zenith,premium,kg,27.253525366786384,1,1,1,11.967725259277303,1.7684656056187997,SUP0127,"MAT0023,MAT0828,MAT0507,MAT1191",C,low,6.65,3.05
SKUI0025,SKU0025,spares,Astra,economy,kg,16.72807673647242,2,1,1,16.160346309634853,2.3742780416112743,SUP0039,"MAT0654,MAT0612,MAT0436,MAT0082,MAT0328,MAT0787",B,high,25.91,15.25
SKUI0026,SKU0026,spares,Zenith,retail,box,13.012555726680855,3,1,1,9.869913418076331,1.1918106430703757,SUP0377,"MAT0271,MAT0353,MAT0140",C,high,31.21,14.11
SKUI0027,SKU0027,spares,Astra,economy,kg,9.056004626062617,4,1,1,10.9095308334167,0.617211973454858,SUP0061,"MAT1088,MAT0767,MAT0268",B,medium,15.4,7.13
SKUI0028,SKU0028,assembly,Kite,premium,pcs,25.162141788847247,8,2,2,8.859978875012727,1.0894102401654098,SUP0062,"MAT0512,MAT0027,MAT0278,MAT0600",B,medium,9.18,6.31
SKUI0029,SKU0029,kit,Cobalt,industrial,meter,14.659821931549514,3,1,1,13.051522888669787,1.2870863386609726,SUP0146,"MAT1051,MAT0417,MAT0118,MAT1083",B,medium,15.63,11.35
SKUI0030,SKU0030,spares,Orion,premium,kg,26.314055887336032,11,4,3,11.957959165778439,0.9090244609737451,SUP0318,"MAT0959,MAT0130,MAT0303",C,high,10.72,7.12
SKUI0031,SKU0031,kit,Vertex,industrial,box,17.96955811919781,39,10,10,20.540369698027696,3.4983020340239426,SUP0039,"MAT0654,MAT0958,MAT1129,MAT0523,MAT0583,MAT1155",B,medium,15.05,10.57
SKUI0032,SKU0032,finished,Cobalt,standard,box,19.61472326845081,5,1,1,9.719560216651395,1.8584235164633824,SUP0332,"MAT1096,MAT0470,MAT0198,MAT0657,MAT0062",A,medium,28.11,13.96
SKUI0033,SKU0033,consumable,Orion,economy,pcs,11.716224621043487,3,1,1,9.898313776674671,1.0730887482159686,SUP0079,"MAT1173,MAT0257,MAT0193,MAT1053",B,high,27.8,17.5
SKUI0034,SKU0034,finished,Kite,standard,box,14.471074790493685,6,2,2,6.54754982089513,1.3765562322310307,SUP0409,"MAT0918,MAT0475,MAT0219",A,high,67.2,40.27
SKUI0035,SKU0035,consumable,Nova,retail,meter,14.469873803660606,12,4,3,12.318598207817805,1.674822588503912,SUP0020,"MAT0822,MAT0338,MAT0465,MAT0476,MAT0709",B,high,16.65,11.77
SKUI0036,SKU0036,assembly,Zenith,standard,meter,25.203230001924,9,2,2,19.837226810680445,2.9546518018472354,SUP0153,"MAT1020,MAT0358,MAT0063,MAT0198,MAT1026,MAT0156,MAT0958",B,medium,20.5,12.64
SKUI0037,SKU0037,consumable,Cobalt,premium,kg,15.571674557050107,14,5,4,17.891649041250496,2.267621817707343,SUP0079,"MAT0484,MAT1029,MAT0822,MAT0452,MAT0047,MAT0884",B,high,67.4,48.85
SKUI0038,SKU0038,spares,Zenith,retail,pcs,14.116405438569009,6,2,2,12.210677208996545,2.0250263600660245,SUP0005,"MAT0458,MAT0648,MAT0897,MAT0167",B,high,34.21,24.73
SKUI0039,SKU0039,consumable,Cobalt,premium,pcs,20.12129638091086,10,3,3,23.788398177728993,1.848830093614932,SUP0333,"MAT0325,MAT0558,MAT0544,MAT0270,MAT0317",A,high,68.99,38.15
SKUI0040,SKU0040,consumable,Nova,industrial,box,23.230833838897357,50,13,12,23.835705338568523,1.3111205887458928,SUP0341,"MAT0125,MAT0197,MAT0483,MAT1114,MAT0173",A,medium,27.0,18.19
SKUI0041,SKU0041,spares,Kite,economy,pcs,16.602530407376427,6,1,1,13.051741004153715,2.419927901444059,SUP0038,"MAT0177,MAT0457,MAT0988,MAT0764,MAT0202,MAT0452",B,low,23.36,16.71
SKUI0042,SKU0042,spares,Nova,premium,pcs,12.910357323867064,8,1,2,24.070708793915944,1.4210339699354255,SUP0043,"MAT0437,MAT0626,MAT0276,MAT0495,MAT0207,MAT0773,MAT0094",B,low,12.29,6.88
SKUI0043,SKU0043,kit,Nova,standard,pcs,23.518660764528093,11,2,2,15.17899785298381,1.4550117277182821,SUP0118,"MAT1107,MAT0135,MAT0266,MAT0390,MAT0311,MAT0787",A,low,7.47,5.1
SKUI0044,SKU0044,kit,Orion,industrial,pcs,26.833011389614363,48,16,14,14.741275387066226,3.877152574938559,SUP0327,"MAT0005,MAT0069,MAT0456,MAT0700,MAT0801,MAT0084,MAT0033",A,high,56.83,25.58
SKUI0045,SKU0045,finished,Orion,industrial,pcs,15.821585200535917,15,3,3,11.38936031746305,0.7054246339228961,SUP0020,"MAT0327,MAT0229,MAT0816,MAT0476",A,low,23.73,13.72
SKUI0046,SKU0046,kit,Vertex,premium,box,15.4251379859988,9,2,2,11.428916790040162,0.9676019896273733,SUP0122,"MAT0029,MAT0926,MAT0810,MAT0555",B,low,14.21,9.11
SKUI0047,SKU0047,kit,Vertex,economy,meter,11.220236917169812,6,2,1,9.77658960227603,0.838619422497406,SUP0910,"MAT0817,MAT0382,MAT0760",B,medium,11.23,6.28
SKUI0048,SKU0048,finished,Astra,premium,pcs,21.352873556706417,21,4,4,19.04153326128494,1.7925076889927352,SUP0192,"MAT0442,MAT0761,MAT1166,MAT0064,MAT0074,MAT0940,MAT0768",B,low,38.08,27.23
SKUI0049,SKU0049,assembly,Vertex,premium,meter,18.835909877347238,7,2,2,11.963645618018726,1.0725111765568542,SUP0648,"MAT0670,MAT0518,MAT0314,MAT0525",B,medium,34.83,22.49
SKUI0050,SKU0050,finished,Nova,retail,box,16.243871721229596,24,8,7,24.510037521585765,1.550750964726758,SUP0025,"MAT0486,MAT0572,MAT0918,MAT0933,MAT0884,MAT0518,MAT0774",B,high,18.35,11.21
SKUI0051,SKU0051,kit,Orion,industrial,kg,22.737968781209098,6,1,1,16.195684934351547,3.4451266622232892,SUP0080,"MAT0729,MAT0815,MAT0291,MAT0013,MAT0090,MAT0925,MAT0069",B,low,34.92,24.78
SKUI0052,SKU0052,consumable,Nova,premium,meter,13.973241326202041,5,2,1,26.427827095593198,2.5731579144209156,SUP0015,"MAT1012,MAT0629,MAT0620,MAT0510,MAT0429,MAT0256,MAT0293",A,high,90.89,61.34
SKUI0053,SKU0053,finished,Kite,retail,kg,14.676742518130563,3,1,1,13.503199658396953,1.7023082474957123,SUP0376,"MAT0932,MAT0410,MAT0180,MAT0917",C,low,8.98,4.7
SKUI0054,SKU0054,consumable,Cobalt,retail,pcs,15.003402651462732,11,3,3,5.7448160697930195,0.9925957799859318,SUP0628,"MAT0113,MAT0375,MAT0457",C,medium,8.81,6.08
SKUI0055,SKU0055,consumable,Orion,standard,pcs,16.843010424378416,2,1,1,16.202314761292477,3.1221067028664797,SUP0230,"MAT0609,MAT0575,MAT0598,MAT0679,MAT1174,MAT0362",B,low,18.82,11.37
SKUI0056,SKU0056,consumable,Zenith,premium,kg,13.656907408339224,20,3,4,15.486987418511669,2.883069032079996,SUP0032,"MAT1154,MAT0784,MAT0399,MAT0547,MAT0231,MAT0254,MAT1136",A,low,16.45,8.42
SKUI0057,SKU0057,consumable,Orion,retail,kg,14.501477548968257,3,1,1,23.04287076389824,3.031968104718138,SUP0119,"MAT0655,MAT0108,MAT0750,MAT0494,MAT0528,MAT0116,MAT0826",C,medium,88.41,65.69
SKUI0058,SKU0058,assembly,Kite,retail,box,20.01955983213159,2,1,1,15.057727555804673,2.5790681031802034,SUP0214,"MAT0904,MAT0716,MAT0613,MAT0721,MAT0622,MAT1050",B,low,7.09,4.04
SKUI0059,SKU0059,spares,Zenith,standard,kg,21.137952189410406,8,3,2,10.21707182598206,1.9142922469009644,SUP0474,"MAT0129,MAT0426,MAT0733",B,high,76.64,35.31
SKUI0060,SKU0060,assembly,Orion,premium,box,25.91493520236999,16,3,3,17.355540363402284,2.122211442781655,SUP0043,"MAT1156,MAT0972,MAT0094,MAT0881,MAT0297,MAT0477",B,low,10.63,7.72
SKUI0061,SKU0061,assembly,Zenith,economy,pcs,15.72800959130985,7,2,2,11.663115814530686,1.3241053542810322,SUP0206,"MAT0186,MAT0996,MAT0722",B,high,23.81,11.62
SKUI0062,SKU0062,assembly,Orion,premium,kg,24.361971465315207,14,5,4,17.189703229289528,2.434902125024095,SUP0297,"MAT0135,MAT0911,MAT0868,MAT0100,MAT0051,MAT0099,MAT0870",B,high,16.04,9.41
SKUI0063,SKU0063,assembly,Astra,standard,pcs,17.462032572674765,10,3,2,14.638019922464956,2.0648396689955093,SUP0039,"MAT1158,MAT0792,MAT0254,MAT1180,MAT0915,MAT0324",A,medium,30.26,18.32
SKUI0064,SKU0064,consumable,Zenith,economy,box,19.760601287674152,13,2,3,6.8572449051066755,1.135674325032512,SUP0852,"MAT0227,MAT0070,MAT0984",B,low,7.86,5.33
SKUI0065,SKU0065,assembly,Kite,economy,box,11.015737570887959,25,8,7,17.98463580443714,2.2485793153677553,SUP0118,"MAT0586,MAT0939,MAT0311,MAT0129,MAT0210,MAT0047",A,high,32.13,15.21
SKUI0066,SKU0066,spares,Orion,premium,pcs,19.868458237111064,5,2,1,5.199949348910536,0.8615898242540384,SUP0177,"MAT1013,MAT0466,MAT1144,MAT0046",B,high,12.2,8.23
SKUI0067,SKU0067,finished,Astra,premium,meter,30.911652543599022,9,2,2,6.412489598757377,1.6017169799600812,SUP0350,"MAT0156,MAT0656,MAT0668",A,medium,7.65,5.05
SKUI0068,SKU0068,kit,Zenith,standard,meter,15.35877164015142,2,1,1,10.522470541550167,2.3381010279812267,SUP0183,"MAT0577,MAT0250,MAT0620,MAT0345,MAT0652",C,high,17.66,9.56
SKUI0069,SKU0069,kit,Orion,retail,pcs,9.270032170977693,21,5,5,9.550996509680752,1.4818508371559322,SUP0321,"MAT0345,MAT0613,MAT0702,MAT0770",C,medium,35.83,24.65
SKUI0070,SKU0070,finished,Kite,premium,pcs,23.13462283630931,6,2,2,29.66908219561021,2.3081844515660124,SUP0276,"MAT0228,MAT0045,MAT0432,MAT0104,MAT0217,MAT0205,MAT0531",B,high,32.49,16.39
SKUI0071,SKU0071,spares,Astra,industrial,box,27.06658136967039,8,1,2,12.159129471938277,1.2246925101847226,SUP0308,"MAT1136,MAT1188,MAT1194,MAT0780,MAT0601",C,low,9.14,6.76
SKUI0072,SKU0072,assembly,Cobalt,economy,kg,13.822364791593937,6,2,1,22.20542906250694,2.4925660811023267,SUP0160,"MAT0308,MAT0679,MAT0371,MAT1116,MAT0357,MAT1016",B,medium,113.24,82.67
SKUI0073,SKU0073,assembly,Vertex,retail,pcs,15.705889859417523,5,2,1,22.650743101611237,2.7463721929047846,SUP0170,"MAT1042,MAT0681,MAT0146,MAT0282,MAT0074,MAT0033,MAT0090",B,high,6.1,3.95
SKUI0074,SKU0074,kit,Zenith,standard,meter,19.382469576498902,14,4,3,27.053894365219946,1.8027052698919006,SUP0153,"MAT1079,MAT1128,MAT0663,MAT0358,MAT0570,MAT1114,MAT0262",B,medium,24.86,13.74
SKUI0075,SKU0075,kit,Zenith,standard,kg,18.813878705622376,12,3,3,14.640163198347983,1.4777472915954106,SUP0093,"MAT0577,MAT1090,MAT0197,MAT1035,MAT0242,MAT0154,MAT0538",B,medium,11.68,6.74
SKUI0076,SKU0076,finished,Astra,industrial,pcs,29.444966918937563,5,1,1,14.684485760168139,2.9445934881447955,SUP0159,"MAT1193,MAT0587,MAT1095,MAT0156,MAT0552,MAT1181,MAT1200",B,medium,21.28,14.45
SKUI0077,SKU0077,spares,Vertex,economy,box,21.36265228267883,28,5,6,9.698781228131665,0.9617205928873096,SUP0336,"MAT0211,MAT0650,MAT0595",A,low,11.16,5.72
SKUI0078,SKU0078,finished,Astra,premium,pcs,17.545593330168632,15,4,4,13.688783574044637,0.7028773232994485,SUP0454,"MAT0591,MAT0816,MAT0812,MAT0774",B,medium,13.36,7.26
SKUI0079,SKU0079,finished,Cobalt,premium,box,24.195333060835615,25,4,5,20.435685745800765,2.53018061207957,SUP0058,"MAT0678,MAT0781,MAT0652,MAT1047,MAT0373,MAT1193",A,low,22.18,12.92
SKUI0080,SKU0080,kit,Vertex,standard,meter,16.847027991478665,2,1,1,23.989459624382864,2.2958945502226724,SUP0125,"MAT0409,MAT0286,MAT0758,MAT1157,MAT0964,MAT0519,MAT0596",B,high,24.42,16.72
SKUI0081,SKU0081,consumable,Astra,retail,pcs,28.475590329565417,5,1,1,5.157707571836343,0.9060736968727003,SUP0692,"MAT1191,MAT1056,MAT0038",A,medium,17.33,8.55
SKUI0082,SKU0082,assembly,Nova,industrial,pcs,12.81085469814543,16,5,5,18.02531265361632,2.0125976284504805,SUP0082,"MAT0009,MAT0591,MAT0538,MAT0434,MAT0398",B,high,11.51,5.58
SKUI0083,SKU0083,assembly,Vertex,industrial,box,17.586638219109624,3,1,1,10.509670858579515,2.918718244957742,SUP0622,"MAT1127,MAT0860,MAT0685,MAT0924,MAT0451,MAT0522,MAT0776",B,medium,33.94,24.47
SKUI0084,SKU0084,assembly,Zenith,retail,box,22.901086832505214,6,1,1,8.512676537475759,2.2920167987610327,SUP0094,"MAT0942,MAT1017,MAT0823,MAT1047",B,low,11.8,8.73
SKUI0085,SKU0085,finished,Astra,standard,meter,16.803427455456905,4,1,1,8.69866776402723,2.9231946800867266,SUP0205,"MAT1162,MAT0403,MAT1102,MAT0832",B,medium,9.27,5.66
SKUI0086,SKU0086,kit,Kite,economy,pcs,20.048313093706014,11,2,2,24.66550767232813,2.2151074206500487,SUP0136,"MAT0567,MAT0968,MAT0208,MAT0708,MAT1195,MAT0457,MAT0172",C,low,3.37,2.24
SKUI0087,SKU0087,spares,Zenith,economy,kg,16.99998327034692,6,2,1,21.832725337616104,2.7150591818526877,SUP0074,"MAT0908,MAT0280,MAT0377,MAT0178,MAT0180,MAT0729,MAT0287",C,medium,18.24,9.27
SKUI0088,SKU0088,assembly,Zenith,economy,box,16.696707491281906,4,1,1,11.500653751493447,2.778233998994447,SUP0022,"MAT0588,MAT0482,MAT0838,MAT0954,MAT0787,MAT0848",A,medium,22.72,16.13
SKUI0089,SKU0089,finished,Nova,premium,kg,21.807419812921825,28,5,6,16.891082178408343,2.091174624275092,SUP0032,"MAT0510,MAT0784,MAT0072,MAT0739,MAT0075,MAT1185",C,low,11.35,8.06
SKUI0090,SKU0090,spares,Nova,economy,pcs,7.1773605675038015,13,2,3,11.35138809290143,1.494493417585265,SUP0092,"MAT1093,MAT0416,MAT0850,MAT0126,MAT1008,MAT0148",B,low,71.53,35.48
SKUI0091,SKU0091,finished,Cobalt,retail,meter,15.840215542355535,13,4,4,17.69510402888259,1.3698831335351054,SUP0093,"MAT0412,MAT0557,MAT1157,MAT0140,MAT0154",A,high,62.7,42.15
SKUI0092,SKU0092,kit,Astra,standard,meter,26.580052564490586,9,3,3,4.111674172257643,0.748706664894545,SUP0314,"MAT0399,MAT0269,MAT0590,MAT0101",B,high,26.9,13.79
SKUI0093,SKU0093,consumable,Astra,retail,kg,19.618098812320124,15,5,4,14.169030505472056,0.5175399375018083,SUP0276,"MAT1067,MAT0217,MAT1125,MAT1085",B,high,9.23,5.4
SKUI0094,SKU0094,kit,Vertex,premium,box,14.63910141500985,12,4,3,13.246843728506354,1.6949655820041714,SUP0116,"MAT0362,MAT0189,MAT1129",B,high,79.29,43.55
SKUI0095,SKU0095,consumable,Nova,standard,box,19.532170562751556,2,1,1,11.314851890160083,1.4226799133381525,SUP0088,"MAT0711,MAT0053,MAT0336",B,high,28.93,20.58
SKUI0096,SKU0096,kit,Kite,economy,meter,8.950158442387714,33,11,9,10.162284435231003,0.28824737682116625,SUP0466,"MAT0205,MAT0410,MAT0341",B,high,135.14,79.66
SKUI0097,SKU0097,assembly,Orion,industrial,pcs,17.109253222162092,29,5,6,15.547892413757266,0.27303806856547724,SUP0061,"MAT1085,MAT1180,MAT1088",B,low,8.13,5.66
SKUI0098,SKU0098,finished,Orion,retail,box,21.222692233433865,6,1,1,10.90305653860795,1.2357679193091504,SUP0136,"MAT0288,MAT0707,MAT0790,MAT0010",B,low,5.96,3.77
SKUI0099,SKU0099,kit,Vertex,industrial,pcs,18.94341792031072,2,1,1,6.600004449309909,1.3510303718125993,SUP0012,"MAT0078,MAT0880,MAT0751",C,medium,38.9,23.18
SKUI0100,SKU0100,consumable,Vertex,premium,kg,19.72743328853937,4,1,1,25.485872419100524,2.7469700183350745,SUP0574,"MAT0845,MAT0091,MAT1026,MAT1082,MAT0063,MAT0700",B,high,32.45,21.14
