user_id,item_id,rating,demand_qty,orders_placed,stockouts,fill_rate,forecast_accuracy
U0001,SKUI0003,2.0,5,15,22,0.7076,0.5746
U0001,SKUI0094,2.0,5,6,26,0.7209,0.603
U0001,SKUI0732,4.0,4,8,9,0.8756,0.717
U0001,SKUI0523,4.0,3,2,7,0.8539,0.8608
U0001,SKUI0503,3.0,1,1,30,0.6816,0.6247
U0001,SKUI0958,2.0,1,2,36,0.6539,0.5722
U0001,SKUI0442,5.0,6,25,1,0.8257,0.8553
U0001,SKUI0830,2.0,2,1,37,0.7279,0.6343
U0001,SKUI0208,1.0,2,2,36,0.6349,0.4702
U0001,SKUI0031,2.0,3,12,9,0.7656,0.745
U0002,SKUI0703,2.0,1,4,34,0.745,0.6249
U0002,SKUI0617,2.0,1,2,28,0.6835,0.5956
U0002,SKUI1061,2.0,4,2,26,0.6691,0.6426
U0002,SKUI0698,3.0,1,2,10,0.7095,0.767
U0002,SKUI0860,4.0,1,7,8,0.7682,0.749
U0002,SKUI0435,4.0,2,4,8,0.8351,0.7697
U0002,SKUI0604,3.0,5,5,6,0.7566,0.6774
U0002,SKUI1104,2.0,5,5,25,0.7267,0.5496
U0002,SKUI0803,2.0,8,8,40,0.6476,0.5211
U0002,SKUI0856,2.0,1,2,28,0.6741,0.5717
U0003,SKUI0128,2.0,4,4,29,0.7158,0.5618
U0003,SKUI1170,3.0,2,4,12,0.7044,0.7779
U0003,SKUI0678,4.0,1,3,8,0.7528,0.6648
U0003,SKUI0657,4.0,2,3,5,0.7493,0.8215
U0003,SKUI0326,3.0,2,5,26,0.7434,0.5555
U0003,SKUI0178,2.0,2,4,34,0.7293,0.6356
U0003,SKUI0573,3.0,3,4,6,0.821,0.707
U0003,SKUI0801,5.0,1,2,4,0.8247,0.809
U0003,SKUI0054,3.0,1,5,12,0.7697,0.7375
U0003,SKUI0682,3.0,4,9,6,0.7712,0.7123
U0004,SKUI0398,1.0,2,2,30,0.6673,0.5354
U0004,SKUI0518,3.0,1,6,6,0.743,0.7478
U0004,SKUI0924,4.0,3,9,13,0.8156,0.7157
U0004,SKUI0125,3.0,1,6,12,0.7774,0.7385
U0004,SKUI0489,4.0,4,6,7,0.8127,0.8081
U0004,SKUI1091,1.0,1,5,36,0.6312,0.5745
U0004,SKUI1153,4.0,1,2,10,0.7599,0.8167
U0004,SKUI1145,4.0,1,2,12,0.779,0.8378
U0004,SKUI0270,3.0,1,1,10,0.7517,0.7265
U0004,SKUI1071,3.0,1,14,14,0.775,0.7241
U0005,SKUI0062,2.0,2,4,39,0.7149,0.6119
U0005,SKUI0543,3.0,2,3,13,0.7852,0.6747
U0005,SKUI0407,3.0,1,3,7,0.7871,0.6951
U0005,SKUI0352,2.0,1,4,38,0.7028,0.6696
U0005,SKUI0527,4.0,1,1,8,0.7997,0.8048
U0005,SKUI0194,1.0,4,4,36,0.6766,0.5263
U0005,SKUI0560,3.0,3,9,5,0.7523,0.7462
U0005,SKUI0320,3.0,1,3,11,0.8217,0.7299
U0005,SKUI0596,3.0,1,9,6,0.7579,0.7326
U0005,SKUI0910,4.0,5,7,3,0.8074,0.6989
U0006,SKUI0715,1.0,11,7,31,0.6611,0.6664
U0006,SKUI1179,4.0,2,4,3,0.764,0.8024
U0006,SKUI0623,4.0,7,15,9,0.7921,0.7243
U0006,SKUI0746,3.0,1,4,12,0.7614,0.7989
U0006,SKUI0294,2.0,1,10,11,0.7227,0.6605
U0006,SKUI1055,4.0,2,2,8,0.7862,0.8416
U0006,SKUI0343,4.0,5,4,6,0.8172,0.7257
U0006,SKUI0028,3.0,1,3,8,0.7435,0.7039
U0006,SKUI0693,2.0,1,6,22,0.7969,0.6538
U0006,SKUI0315,1.0,1,1,28,0.6623,0.5675
U0007,SKUI0773,3.0,1,3,16,0.8001,0.6428
U0007,SKUI0358,3.0,1,3,12,0.7552,0.7407
U0007,SKUI0448,3.0,7,9,18,0.741,0.6158
U0007,SKUI0878,2.0,2,6,17,0.7065,0.5929
U0007,SKUI1057,4.0,2,7,15,0.8146,0.8175
U0007,SKUI0958,2.0,3,3,35,0.7043,0.5756
U0007,SKUI0382,3.0,3,7,11,0.7567,0.7124
U0007,SKUI0554,3.0,2,5,9,0.7761,0.7275
U0007,SKUI0438,4.0,2,2,5,0.7812,0.7423
U0007,SKUI0040,3.0,7,20,12,0.799,0.7132
U0008,SKUI0415,2.0,1,2,15,0.6784,0.7121
U0008,SKUI0160,3.0,5,2,7,0.7756,0.6878
U0008,SKUI0688,2.0,9,9,32,0.7125,0.556
U0008,SKUI0127,4.0,2,5,8,0.7814,0.6811
U0008,SKUI0937,3.0,1,2,9,0.8216,0.6567
U0008,SKUI0227,3.0,1,10,8,0.7611,0.6986
U0008,SKUI0105,2.0,4,4,30,0.6777,0.5828
U0008,SKUI0319,3.0,1,1,14,0.7868,0.7187
U0008,SKUI0720,2.0,2,2,27,0.6703,0.555
U0008,SKUI0752,4.0,2,5,7,0.7344,0.8742
U0009,SKUI1153,3.0,1,6,13,0.6851,0.8422
U0009,SKUI0736,3.0,6,15,10,0.7853,0.8304
U0009,SKUI0845,3.0,2,9,14,0.831,0.7241
U0009,SKUI1015,4.0,3,6,5,0.82,0.8596
U0009,SKUI0080,2.0,1,4,27,0.6913,0.6392
U0009,SKUI0017,4.0,2,6,8,0.7853,0.8256
U0009,SKUI0632,4.0,1,7,18,0.6957,0.8541
U0009,SKUI0648,2.0,1,1,29,0.7313,0.5726
U0009,SKUI0357,3.0,1,5,7,0.7293,0.7365
U0009,SKUI0038,3.0,2,1,21,0.7396,0.6554
U0010,SKUI0815,4.0,4,1,5,0.7996,0.7761
U0010,SKUI1102,4.0,4,22,7,0.787,0.8395
U0010,SKUI0119,4.0,1,4,6,0.8052,0.7946
U0010,SKUI0725,2.0,3,4,34,0.626,0.5985
U0010,SKUI0102,4.0,1,5,6,0.7226,0.7757
U0010,SKUI0535,3.0,3,4,8,0.74,0.6604
U0010,SKUI0962,3.0,2,7,6,0.8227,0.7444
U0010,SKUI1131,5.0,2,2,6,0.7821,0.8146
U0010,SKUI0066,2.0,2,1,16,0.695,0.5816
U0010,SKUI1060,4.0,2,6,4,0.7995,0.8214
U0011,SKUI0304,4.0,1,16,5,0.8069,0.755
U0011,SKUI0933,3.0,5,13,7,0.7721,0.8016
U0011,SKUI0270,4.0,2,4,4,0.7989,0.8033
U0011,SKUI0843,2.0,2,3,31,0.7062,0.6042
U0011,SKUI0425,3.0,1,6,14,0.7607,0.7426
