item_id,supplier_name,category,region,country,lead_time_days,min_order_value,min_order_qty,payment_terms,quality_score,reliability_score,risk_rating
SUP0001,Supplier_0001,chemicals,West,DE,19.685335021796963,26506,22,Net 30,59.0,67.1116749028863,high
SUP0002,Supplier_0002,components,East,CN,9.02855163186196,6939,16,Net 45,89.0,87.35863732703073,low
SUP0003,Supplier_0003,packaging,Central,MX,29.698842107786888,14298,122,Net 60,84.0,86.36245319595398,low
SUP0004,Supplier_0004,chemicals,Central,CN,24.47355785482538,42722,23,Net 30,74.0,58.33550722230081,high
SUP0005,Supplier_0005,electronics,South,CN,18.763512307901888,23007,72,Net 15,74.0,66.48374020827534,high
SUP0006,Supplier_0006,metals,Central,IN,4.0,10103,21,Net 15,93.0,91.09043701901116,low
SUP0007,Supplier_0007,packaging,North,CN,10.132672170727755,80474,29,Net 60,58.0,51.031135360725415,high
SUP0008,Supplier_0008,chemicals,North,CN,23.50208905279898,21678,9,Net 60,86.0,90.64357713709929,low
SUP0009,Supplier_0009,components,North,SG,27.703069533785246,27211,17,Net 60,64.0,76.98242744986196,medium
SUP0010,Supplier_0010,fasteners,South,SG,26.873358491937054,27439,28,Net 15,59.0,51.35200432370954,high
SUP0011,Supplier_0011,metals,Central,CN,5.263895982068357,17994,74,Net 15,78.0,72.55648787344624,medium
SUP0012,Supplier_0012,plastics,West,IN,20.412418454503232,14762,28,Net 30,98.0,99.53041439401454,low
SUP0013,Supplier_0013,packaging,West,IN,26.124121731863436,70750,64,Net 15,88.0,98.47225496524753,low
SUP0014,Supplier_0014,electronics,North,IN,4.733315475342039,38244,38,Net 30,89.0,81.05456696849063,medium
SUP0015,Supplier_0015,plastics,East,SG,17.93676387701411,34615,76,Net 45,87.0,88.61873479499512,low
SUP0016,Supplier_0016,packaging,South,BR,20.19073918646765,30241,23,Net 30,90.0,100.0,low
SUP0017,Supplier_0017,electronics,East,MX,15.593883321226121,12684,130,Net 15,78.0,67.26356553683476,high
SUP0018,Supplier_0018,packaging,South,DE,4.0,44473,17,Net 30,60.0,51.67305015550209,high
SUP0019,Supplier_0019,fasteners,South,US,15.394415119410171,13853,14,Net 45,92.0,89.24655705800456,low
SUP0020,Supplier_0020,chemicals,Central,SG,15.381556557959808,25740,10,Net 45,75.0,71.61617531643982,medium
SUP0021,Supplier_0021,chemicals,East,US,16.815420763617965,8940,125,Net 30,77.0,82.2819083703987,medium
SUP0022,Supplier_0022,electronics,East,SG,13.492228596599443,7169,43,Net 30,71.0,72.57078817883544,medium
SUP0023,Supplier_0023,metals,North,DE,14.455902774068262,26240,19,Net 45,63.0,51.462746612326164,high
SUP0024,Supplier_0024,components,West,BR,17.682349741224176,14115,58,Net 15,96.0,99.35016761885527,low
SUP0025,Supplier_0025,plastics,East,SG,21.53963683975769,7375,39,Net 60,90.0,86.24599723218827,low
SUP0026,Supplier_0026,metals,South,BR,15.564585897146662,29653,97,Net 60,83.0,91.28390691011805,low
SUP0027,Supplier_0027,packaging,West,DE,14.722808573055985,70688,8,Net 15,73.0,68.92068101316002,high
SUP0028,Supplier_0028,metals,North,BR,18.738832306035665,47299,20,Net 60,92.0,87.86200065983547,low
SUP0029,Supplier_0029,packaging,East,CN,4.0,19119,17,Net 15,79.0,82.51735547022946,medium
SUP0030,Supplier_0030,metals,Central,SG,21.816281017811665,22133,6,Net 30,74.0,78.95902213519008,medium
SUP0031,Supplier_0031,plastics,East,DE,17.99549522301633,35890,51,Net 45,75.0,77.91264586558532,medium
SUP0032,Supplier_0032,packaging,North,CN,18.317548212780494,40829,20,Net 30,65.0,54.043617436998744,high
SUP0033,Supplier_0033,plastics,South,BR,25.685874460755713,18234,41,Net 15,59.0,62.497223859533634,high
SUP0034,Supplier_0034,packaging,North,DE,4.0,22444,127,Net 15,79.0,72.27699766411641,medium
SUP0035,Supplier_0035,chemicals,East,US,4.0,25986,19,Net 45,94.0,95.52929472532371,low
SUP0036,Supplier_0036,metals,South,DE,20.190430762588157,29870,18,Net 15,57.0,47.745726169906106,high
SUP0037,Supplier_0037,metals,North,DE,17.943065158971873,20471,26,Net 30,93.0,95.90109395902991,low
SUP0038,Supplier_0038,packaging,West,DE,19.361415545535458,20618,48,Net 30,92.0,86.75710712200208,low
SUP0039,Supplier_0039,packaging,North,US,14.302983398620436,47047,16,Net 60,67.0,58.66287477330661,high
SUP0040,Supplier_0040,plastics,South,US,23.31482939391945,42840,15,Net 60,83.0,87.6398308871356,low
SUP0041,Supplier_0041,electronics,Central,DE,25.46111074392896,28640,51,Net 60,62.0,63.570689390898885,high
SUP0042,Supplier_0042,metals,North,DE,21.871858351612218,56698,31,Net 45,89.0,85.00915079094617,low
SUP0043,Supplier_0043,fasteners,South,US,15.913372332763334,17808,5,Net 45,86.0,95.43266251863692,low
SUP0044,Supplier_0044,components,South,DE,4.0,53778,10,Net 30,70.0,67.13575925979667,high
SUP0045,Supplier_0045,components,East,DE,24.153889664297026,29684,70,Net 15,58.0,58.208699880811075,high
SUP0046,Supplier_0046,chemicals,South,US,27.773829329740742,133127,32,Net 60,98.0,99.7479374099109,low
SUP0047,Supplier_0047,electronics,Central,IN,23.156467295871842,11431,14,Net 30,75.0,70.97217142816402,medium
SUP0048,Supplier_0048,metals,North,IN,10.962860581059948,15076,21,Net 30,95.0,98.06238590709954,low
SUP0049,Supplier_0049,electronics,Central,IN,23.390355149342064,27731,24,Net 15,85.0,81.53255974342929,medium
SUP0050,Supplier_0050,components,East,BR,24.884237663691565,27404,41,Net 30,90.0,87.32435090559464,low
SUP0051,Supplier_0051,components,North,US,30.470529982392684,64381,9,Net 45,89.0,97.85717715872171,low
SUP0052,Supplier_0052,fasteners,North,SG,10.991120606176338,15250,13,Net 30,63.0,56.23619065866919,high
SUP0053,Supplier_0053,fasteners,North,SG,16.188363323646893,36232,29,Net 45,71.0,55.316927848958315,high
SUP0054,Supplier_0054,chemicals,South,BR,23.978176409147643,41745,22,Net 15,76.0,86.47109046757731,low
SUP0055,Supplier_0055,packaging,South,CN,18.45928057150526,32453,36,Net 15,77.0,93.57063169194552,low
SUP0056,Supplier_0056,fasteners,West,CN,9.061379183589802,12983,10,Net 60,56.0,53.36574977457934,high
SUP0057,Supplier_0057,fasteners,South,BR,21.316930280213626,47775,31,Net 30,79.0,66.41055273596879,high
SUP0058,Supplier_0058,packaging,West,BR,22.629293070521335,43309,52,Net 30,61.0,58.98185415472636,high
SUP0059,Supplier_0059,fasteners,South,IN,18.703703170648016,30631,34,Net 30,88.0,86.13955082603565,low
SUP0060,Supplier_0060,chemicals,South,BR,19.756679417439553,24646,27,Net 45,85.0,83.76549503335534,medium
SUP0061,Supplier_0061,chemicals,South,CN,15.93035278651416,24943,22,Net 45,96.0,88.76297772750799,low
SUP0062,Supplier_0062,fasteners,South,US,29.826231485728474,21092,13,Net 30,88.0,91.7671474260971,low
SUP0063,Supplier_0063,chemicals,Central,SG,10.794462530298588,31333,23,Net 60,71.0,74.40929793935956,medium
SUP0064,Supplier_0064,fasteners,South,MX,13.301433897889769,22406,59,Net 60,98.0,88.28636347117451,low
SUP0065,Supplier_0065,packaging,South,US,18.087884108220205,13812,22,Net 15,73.0,77.54477875601677,medium
SUP0066,Supplier_0066,chemicals,Central,US,25.03163222160714,12373,13,Net 45,69.0,82.34245238264829,medium
SUP0067,Supplier_0067,metals,West,MX,6.021014639243706,14565,17,Net 60,95.0,96.11774216084089,low
SUP0068,Supplier_0068,plastics,North,SG,7.517626001876486,24888,28,Net 30,71.0,68.80738644655472,high
SUP0069,Supplier_0069,packaging,Central,IN,4.0,21702,18,Net 15,58.0,57.07697910635111,high
SUP0070,Supplier_0070,chemicals,North,BR,18.261561802026165,24796,34,Net 15,76.0,79.99916898529565,medium
