user_id,item_id,rating,orders_placed,total_spend,defect_rate,on_time_delivery_pct
U0001,SUP0601,5.0,12,91.57,0.0498,100.0
U0001,SUP1146,5.0,4,90.27,0.0829,91.55
U0001,SUP0609,5.0,44,55.21,0.0,100.0
U0001,SUP0717,4.0,4,77.03,0.1508,80.05
U0001,SUP0587,5.0,5,165.95,0.058,86.22
U0001,SUP0193,5.0,8,523.29,0.0233,100.0
U0001,SUP0412,2.0,3,70.29,0.1308,70.81
U0001,SUP0163,4.0,34,86.03,0.1496,81.04
U0001,SUP0214,5.0,3,193.39,0.0722,96.73
U0001,SUP0852,5.0,5,288.09,0.0,100.0
U0002,SUP0593,4.0,14,303.09,0.1305,77.73
U0002,SUP0831,5.0,9,147.05,0.0418,85.93
U0002,SUP0832,3.0,6,31.93,0.1686,77.56
U0002,SUP0739,5.0,5,148.76,0.0,99.38
U0002,SUP0435,5.0,3,307.84,0.0462,86.81
U0002,SUP0723,5.0,5,212.0,0.0225,100.0
U0002,SUP0227,5.0,17,242.23,0.0084,100.0
U0002,SUP0990,5.0,5,85.24,0.045,95.25
U0002,SUP0683,5.0,12,131.42,0.0044,100.0
U0002,SUP0664,5.0,4,282.02,0.0563,91.93
U0003,SUP0183,5.0,6,678.27,0.0381,99.41
U0003,SUP1178,5.0,6,204.2,0.0432,91.24
U0003,SUP0010,2.0,7,70.22,0.1578,68.35
U0003,SUP0133,4.0,6,40.81,0.1232,85.32
U0003,SUP0698,5.0,3,92.04,0.0824,97.02
U0003,SUP1158,5.0,6,132.27,0.0101,100.0
U0003,SUP0882,5.0,4,88.88,0.0307,100.0
U0003,SUP0300,3.0,12,87.45,0.1056,70.26
U0003,SUP0992,5.0,3,299.56,0.0505,92.29
U0003,SUP1074,5.0,12,139.26,0.0499,90.83
U0004,SUP1152,5.0,7,162.62,0.0669,92.55
U0004,SUP0097,4.0,9,350.64,0.136,77.85
U0004,SUP0843,5.0,7,309.19,0.0415,100.0
U0004,SUP1082,5.0,11,72.3,0.015,100.0
U0004,SUP0438,5.0,3,198.27,0.004,100.0
U0004,SUP0538,3.0,13,80.81,0.1383,79.85
U0004,SUP1027,4.0,32,95.37,0.1208,68.82
U0004,SUP0916,5.0,2,138.62,0.0466,97.88
U0004,SUP1162,5.0,2,456.93,0.0672,98.44
U0004,SUP0184,5.0,5,155.33,0.0204,100.0
U0005,SUP0834,4.0,10,101.65,0.1281,86.72
U0005,SUP1006,5.0,8,158.37,0.0424,100.0
U0005,SUP0590,5.0,16,50.55,0.0004,100.0
U0005,SUP0499,5.0,10,407.97,0.0305,100.0
U0005,SUP0345,5.0,12,200.59,0.0039,98.36
U0005,SUP0377,5.0,9,145.4,0.0528,95.41
U0005,SUP0637,4.0,6,160.65,0.1281,77.17
U0005,SUP1019,3.0,6,104.69,0.1421,67.44
U0005,SUP0745,5.0,14,284.27,0.0148,100.0
U0005,SUP0139,5.0,12,129.5,0.1351,85.43
U0006,SUP1110,4.0,5,51.97,0.1513,76.89
U0006,SUP0765,5.0,7,92.76,0.0701,89.91
U0006,SUP0456,5.0,8,118.59,0.0648,82.86
U0006,SUP0335,5.0,18,117.51,0.0622,100.0
U0006,SUP0231,5.0,8,72.35,0.1035,81.04
U0006,SUP0014,5.0,16,174.94,0.0503,100.0
U0006,SUP0349,4.0,10,65.15,0.0728,100.0
U0006,SUP0592,5.0,11,61.86,0.0078,100.0
U0006,SUP0392,5.0,7,251.15,0.1312,77.15
U0006,SUP0165,5.0,68,365.98,0.0848,84.56
U0007,SUP0099,5.0,9,69.03,0.0182,100.0
U0007,SUP0792,5.0,16,113.66,0.0512,94.48
U0007,SUP0070,5.0,13,78.33,0.081,96.09
U0007,SUP0462,5.0,5,169.7,0.1187,85.82
U0007,SUP0357,5.0,6,29.07,0.0661,94.05
U0007,SUP1059,5.0,5,103.58,0.0393,96.9
U0007,SUP0640,5.0,21,252.28,0.0095,95.64
U0007,SUP0044,5.0,2,714.23,0.1047,79.59
U0007,SUP1021,4.0,6,50.42,0.1531,76.69
U0007,SUP0443,5.0,30,152.85,0.1215,91.95
U0008,SUP0753,4.0,5,173.01,0.1245,85.87
U0008,SUP0972,5.0,8,199.58,0.051,100.0
U0008,SUP1028,5.0,12,43.69,0.1184,86.72
U0008,SUP0469,4.0,8,66.93,0.1414,89.42
U0008,SUP0352,3.0,5,20.99,0.16,82.47
U0008,SUP0557,5.0,15,42.65,0.0246,97.52
U0008,SUP0665,5.0,24,51.67,0.0837,85.03
U0008,SUP1081,5.0,11,51.63,0.0702,100.0
U0008,SUP0441,5.0,22,102.75,0.0,100.0
U0008,SUP1114,4.0,32,153.91,0.1629,83.34
U0009,SUP0421,5.0,4,59.16,0.0172,96.14
U0009,SUP0983,5.0,5,62.66,0.0521,92.86
U0009,SUP0205,5.0,4,306.45,0.0707,100.0
U0009,SUP0577,5.0,7,146.9,0.0,100.0
U0009,SUP0036,3.0,3,135.06,0.13,69.29
U0009,SUP0504,5.0,4,410.55,0.0075,100.0
U0009,SUP1046,4.0,4,175.53,0.1289,76.56
U0009,SUP1039,5.0,8,142.78,0.0639,80.68
U0009,SUP0263,4.0,3,74.16,0.1531,84.24
U0009,SUP0176,5.0,8,199.7,0.1079,89.23
U0010,SUP0955,5.0,12,192.58,0.0374,100.0
U0010,SUP0893,4.0,10,386.95,0.1634,87.21
U0010,SUP0412,2.0,4,17.8,0.1809,85.24
U0010,SUP0433,5.0,12,195.43,0.0238,100.0
U0010,SUP0846,3.0,8,83.21,0.1336,72.55
U0010,SUP0722,5.0,3,195.1,0.0,100.0
U0010,SUP0940,5.0,8,299.81,0.0755,93.66
U0010,SUP0559,5.0,2,130.31,0.0003,100.0
U0010,SUP0195,5.0,14,63.07,0.0209,100.0
U0010,SUP0994,5.0,5,351.13,0.0355,94.0
U0011,SUP0684,5.0,12,62.45,0.029,100.0
U0011,SUP0727,5.0,5,323.8,0.0238,97.81
U0011,SUP0515,5.0,5,203.75,0.0,98.58
U0011,SUP0631,5.0,26,129.93,0.0449,100.0
U0011,SUP0342,5.0,13,131.97,0.0927,84.73
U0011,SUP0726,4.0,6,215.2,0.162,69.93
U0011,SUP0245,5.0,10,213.75,0.0,100.0
U0011,SUP1131,5.0,20,126.55,0.0391,79.9
U0011,SUP0147,2.0,11,75.46,0.163,67.43
U0011,SUP0767,5.0,9,49.14,0.0605,100.0
U0012,SUP0560,5.0,21,91.83,0.0153,100.0
U0012,SUP0212,5.0,4,99.73,0.0523,100.0
U0012,SUP1048,5.0,7,182.7,0.0633,90.08
U0012,SUP1145,4.0,12,48.52,0.1341,79.28
U0012,SUP1194,5.0,21,254.69,0.054,89.21
U0012,SUP0669,5.0,3,187.58,0.0,100.0
U0012,SUP0618,5.0,7,329.11,0.0714,95.8
U0012,SUP0990,5.0,9,28.65,0.0463,100.0
U0012,SUP0040,5.0,11,168.89,0.0329,100.0
U0012,SUP0202,5.0,15,182.12,0.0441,98.91
U0013,SUP0036,3.0,8,143.34,0.1434,62.66
U0013,SUP0601,5.0,16,44.88,0.0373,100.0
U0013,SUP0010,2.0,5,74.25,0.1611,68.66
U0013,SUP0183,5.0,10,458.28,0.0761,88.57
U0013,SUP0058,3.0,17,214.37,0.1377,77.24
U0013,SUP0446,5.0,13,127.5,0.0,100.0
U0013,SUP0347,5.0,15,231.83,0.0169,95.25
U0013,SUP0613,5.0,6,182.78,0.0164,96.2
U0013,SUP0476,5.0,29,223.47,0.0329,100.0
U0013,SUP0833,5.0,8,202.53,0.0579,100.0
U0014,SUP0719,4.0,4,60.13,0.0662,83.92
U0014,SUP0451,5.0,11,268.82,0.0,98.54
U0014,SUP0603,5.0,4,117.88,0.0051,100.0
U0014,SUP0829,5.0,5,53.13,0.0255,100.0
U0014,SUP0326,4.0,16,68.11,0.1423,87.91
U0014,SUP0953,5.0,5,136.07,0.0316,81.97
U0014,SUP0903,5.0,8,44.03,0.0535,95.33
U0014,SUP0190,4.0,3,165.06,0.1343,90.13
U0014,SUP0426,4.0,5,70.18,0.126,77.89
U0014,SUP0271,5.0,5,391.12,0.0831,90.44
U0015,SUP1121,5.0,13,113.21,0.0593,96.86
U0015,SUP1069,5.0,6,145.77,0.0692,88.45
U0015,SUP0456,5.0,5,84.76,0.0494,80.37
U0015,SUP0848,4.0,6,51.72,0.1124,96.95
U0015,SUP0950,5.0,17,230.46,0.0376,87.32
U0015,SUP0216,5.0,9,58.72,0.0258,92.16
U0015,SUP0041,4.0,11,131.1,0.1154,86.7
U0015,SUP0865,5.0,6,83.76,0.0109,100.0
U0015,SUP1006,5.0,11,159.61,0.0,100.0
U0015,SUP1056,5.0,9,115.3,0.0101,97.43
U0016,SUP1143,5.0,6,199.4,0.0283,100.0
U0016,SUP0976,4.0,8,186.32,0.1353,69.81
U0016,SUP0541,5.0,11,81.14,0.0429,92.51
U0016,SUP1170,5.0,5,68.31,0.0336,94.33
U0016,SUP1063,4.0,3,99.52,0.164,75.18
U0016,SUP0166,5.0,7,219.78,0.0384,91.27
U0016,SUP0570,5.0,31,128.4,0.0744,100.0
U0016,SUP0322,5.0,5,64.83,0.137,91.61
U0016,SUP1196,5.0,11,88.95,0.0622,97.75
U0016,SUP0755,5.0,17,107.06,0.0356,87.44
U0017,SUP0730,5.0,9,105.67,0.0374,83.5
U0017,SUP0089,5.0,6,127.58,0.0501,96.95
U0017,SUP0125,5.0,7,225.76,0.0101,91.48
U0017,SUP0568,4.0,7,127.48,0.1393,79.55
U0017,SUP1043,4.0,8,242.68,0.1275,96.19
U0017,SUP1185,4.0,3,43.18,0.117,77.7
U0017,SUP0226,5.0,4,149.62,0.0663,81.52
U0017,SUP1067,5.0,4,407.94,0.0182,99.94
U0017,SUP1076,4.0,10,237.1,0.1355,89.64
U0017,SUP0852,5.0,8,283.19,0.0,100.0
U0018,SUP0156,5.0,6,260.42,0.0233,90.44
U0018,SUP0242,5.0,34,191.25,0.0722,89.32
U0018,SUP0358,5.0,12,73.47,0.0378,100.0
U0018,SUP0005,4.0,17,125.78,0.1242,84.69
U0018,SUP1118,5.0,10,133.0,0.0633,83.52
U0018,SUP1168,5.0,20,112.18,0.0644,100.0
U0018,SUP0315,4.0,8,111.81,0.142,81.42
U0018,SUP0063,5.0,4,167.85,0.0828,100.0
U0018,SUP0345,5.0,9,215.49,0.0126,100.0
U0018,SUP1088,5.0,11,105.91,0.0283,98.89
U0019,SUP0556,5.0,19,673.35,0.0755,91.74
U0019,SUP0683,5.0,11,175.35,0.0295,100.0
U0019,SUP0596,5.0,14,143.95,0.0277,100.0
U0019,SUP0449,5.0,16,163.58,0.0451,98.77
U0019,SUP0957,4.0,13,90.36,0.1318,90.11
U0019,SUP0236,5.0,14,295.92,0.0423,89.4
U0019,SUP0355,5.0,10,248.95,0.0164,100.0
U0019,SUP1183,5.0,8,44.4,0.0423,95.3
U0019,SUP0091,5.0,16,158.72,0.0675,93.69
U0019,SUP0735,3.0,10,196.82,0.1408,75.99
U0020,SUP0615,5.0,25,22.94,0.0072,92.7
U0020,SUP0516,3.0,7,100.38,0.142,72.52
U0020,SUP1153,5.0,3,248.91,0.0705,93.49
U0020,SUP0628,5.0,9,75.73,0.1145,85.48
U0020,SUP0240,5.0,5,337.12,0.07,90.16
U0020,SUP0779,5.0,8,837.0,0.085,92.07
U0020,SUP0560,5.0,12,57.55,0.0,96.83
U0020,SUP0915,5.0,3,347.24,0.0418,100.0
U0020,SUP0449,5.0,12,82.57,0.0269,97.59
U0020,SUP1074,5.0,22,152.36,0.0657,84.38
U0021,SUP0982,5.0,2,122.37,0.0261,99.69
U0021,SUP0513,5.0,8,241.62,0.0239,100.0
U0021,SUP0003,5.0,53,94.17,0.0073,100.0
U0021,SUP1108,5.0,18,204.1,0.0225,95.4
U0021,SUP0517,5.0,8,131.05,0.0112,100.0
U0021,SUP0336,5.0,8,425.24,0.0225,100.0
U0021,SUP0962,3.0,6,167.29,0.1323,82.36
U0021,SUP0922,5.0,4,122.24,0.0504,94.17
U0021,SUP0318,5.0,6,170.72,0.0616,100.0
U0021,SUP0693,5.0,14,81.82,0.0343,100.0
U0022,SUP1066,3.0,7,156.32,0.1468,77.2
U0022,SUP0801,4.0,8,250.19,0.1315,77.47
U0022,SUP0504,5.0,3,201.52,0.0048,100.0
U0022,SUP0820,5.0,2,182.22,0.0,100.0
U0022,SUP0996,5.0,14,127.83,0.0,98.38
U0022,SUP0011,5.0,19,140.81,0.0682,82.42
U0022,SUP0509,4.0,17,62.35,0.1499,90.19
U0022,SUP0196,3.0,11,80.53,0.1197,87.57
U0022,SUP0175,5.0,5,89.76,0.0592,84.77
U0022,SUP0116,5.0,20,103.48,0.0025,100.0
U0023,SUP1025,5.0,16,114.38,0.0196,100.0
U0023,SUP0589,5.0,24,171.1,0.008,100.0
U0023,SUP0870,4.0,5,126.27,0.07,86.06
U0023,SUP0075,5.0,4,193.92,0.0446,100.0
U0023,SUP0797,5.0,13,41.27,0.0202,100.0
U0023,SUP0662,5.0,7,339.48,0.0467,100.0
U0023,SUP1113,4.0,12,276.17,0.1468,88.56
U0023,SUP1148,5.0,10,110.91,0.0025,100.0
U0023,SUP0110,5.0,1,85.6,0.0189,100.0
U0023,SUP0065,5.0,11,72.14,0.0688,85.16
U0024,SUP0069,4.0,5,83.77,0.1103,70.17
U0024,SUP0345,5.0,10,142.66,0.0324,97.1
U0024,SUP0119,4.0,5,161.12,0.1106,80.04
U0024,SUP1137,5.0,17,177.19,0.0,93.95
U0024,SUP0354,5.0,5,292.66,0.0587,98.94
U0024,SUP0907,5.0,26,131.17,0.0556,89.75
U0024,SUP0920,5.0,4,125.98,0.0275,100.0
U0024,SUP0430,5.0,18,96.89,0.0045,99.3
U0024,SUP0092,5.0,29,142.96,0.0239,90.1
U0024,SUP1146,5.0,1,204.85,0.0588,82.18
U0025,SUP0591,5.0,4,257.25,0.029,100.0
U0025,SUP0005,4.0,27,90.18,0.1488,83.76
U0025,SUP0252,5.0,8,152.76,0.0715,93.63
U0025,SUP0072,4.0,13,82.75,0.1524,81.7
U0025,SUP0309,5.0,21,63.64,0.0851,80.21
U0025,SUP0784,4.0,6,132.06,0.1184,85.33
U0025,SUP0041,4.0,15,165.4,0.109,81.03
U0025,SUP0798,5.0,12,122.0,0.0726,90.14
U0025,SUP1082,5.0,12,50.3,0.0,100.0
U0025,SUP0329,5.0,11,396.8,0.0487,89.86
U0026,SUP1089,5.0,9,172.41,0.07,98.96
U0026,SUP0405,4.0,10,238.04,0.1387,91.1
U0026,SUP0900,5.0,4,214.06,0.0151,100.0
U0026,SUP0633,5.0,9,184.94,0.0853,96.09
U0026,SUP0810,5.0,9,127.56,0.0239,100.0
U0026,SUP0244,5.0,12,286.16,0.0488,83.51
U0026,SUP0203,5.0,6,57.68,0.1152,97.17
U0026,SUP0693,5.0,14,180.52,0.0176,100.0
U0026,SUP0915,5.0,4,98.67,0.0521,100.0
U0026,SUP0806,5.0,2,58.68,0.0045,100.0
U0027,SUP1062,5.0,4,79.6,0.0047,100.0
U0027,SUP0002,5.0,8,62.95,0.0453,99.63
U0027,SUP0854,4.0,8,152.13,0.1546,81.54
U0027,SUP0238,3.0,15,87.88,0.1299,83.57
U0027,SUP1132,5.0,22,442.95,0.0182,100.0
U0027,SUP0253,4.0,5,52.95,0.1399,73.07
U0027,SUP0249,5.0,5,332.06,0.0,92.96
U0027,SUP0442,5.0,5,835.58,0.1273,93.75
U0027,SUP0155,5.0,4,63.98,0.0449,80.71
U0027,SUP0185,5.0,11,325.6,0.0703,96.5
U0028,SUP0753,5.0,14,348.2,0.1222,84.15
U0028,SUP0802,4.0,8,161.16,0.1213,83.06
U0028,SUP1048,5.0,5,146.25,0.062,95.3
U0028,SUP0622,5.0,2,74.21,0.0053,94.13
U0028,SUP1095,4.0,6,212.7,0.1351,64.83
U0028,SUP0801,4.0,8,164.72,0.1399,69.62
U0028,SUP0675,5.0,11,111.4,0.0061,98.07
U0028,SUP0414,3.0,4,210.2,0.1411,78.34
U0028,SUP0675,5.0,6,205.48,0.0153,100.0
U0028,SUP0203,4.0,9,49.29,0.1377,72.51
U0029,SUP0346,4.0,8,166.42,0.1178,86.13
U0029,SUP0201,5.0,10,153.27,0.0857,82.23
U0029,SUP0148,4.0,6,100.71,0.1223,86.99
U0029,SUP1177,5.0,3,66.25,0.122,77.37
U0029,SUP0886,5.0,2,178.25,0.063,97.92
U0029,SUP0460,4.0,4,23.82,0.1171,73.47
U0029,SUP0980,5.0,5,50.16,0.0851,92.41
U0029,SUP0830,4.0,2,104.54,0.126,71.45
U0029,SUP0428,5.0,4,112.56,0.022,100.0
U0029,SUP0674,4.0,17,93.57,0.1457,93.03
U0030,SUP1045,5.0,6,60.63,0.0202,93.92
U0030,SUP0124,5.0,8,80.01,0.0579,90.05
U0030,SUP0860,5.0,10,293.41,0.0591,92.16
U0030,SUP0803,5.0,4,174.91,0.0208,95.79
U0030,SUP0226,5.0,7,145.03,0.0779,88.54
U0030,SUP0706,4.0,9,114.62,0.1341,79.45
U0030,SUP0940,5.0,5,157.25,0.0641,87.47
U0030,SUP0257,5.0,19,153.07,0.0473,96.3
U0030,SUP0620,3.0,4,118.21,0.1251,76.87
U0030,SUP0904,5.0,12,46.1,0.01,100.0
U0031,SUP0502,5.0,17,132.85,0.0756,94.76
U0031,SUP0358,5.0,7,205.49,0.0014,100.0
U0031,SUP0111,5.0,2,94.01,0.0323,84.36
U0031,SUP0970,3.0,18,265.01,0.1339,74.26
U0031,SUP0858,3.0,13,187.7,0.1412,87.99
U0031,SUP0702,5.0,6,141.61,0.0515,97.11
U0031,SUP0391,5.0,2,136.32,0.0526,100.0
U0031,SUP1026,4.0,5,79.35,0.1225,79.28
U0031,SUP0228,5.0,6,157.74,0.0215,100.0
U0031,SUP0388,5.0,12,259.24,0.0203,99.74
U0032,SUP0384,5.0,8,306.09,0.052,97.27
U0032,SUP0363,5.0,4,502.12,0.0878,90.65
U0032,SUP0902,4.0,4,336.28,0.136,76.29
U0032,SUP0897,4.0,4,141.97,0.1369,87.68
U0032,SUP0730,5.0,12,105.98,0.0544,85.33
U0032,SUP0867,5.0,29,54.62,0.0143,100.0
U0032,SUP0060,5.0,7,191.42,0.0712,95.68
U0032,SUP0231,5.0,8,126.11,0.1187,85.43
U0032,SUP0896,5.0,12,368.35,0.0619,83.27
U0032,SUP0769,5.0,6,328.36,0.0432,96.28
U0033,SUP0460,4.0,7,30.97,0.1197,82.89
U0033,SUP0524,5.0,7,324.9,0.0305,100.0
U0033,SUP0134,5.0,7,81.59,0.074,87.4
U0033,SUP0129,5.0,11,122.66,0.0647,100.0
U0033,SUP0355,5.0,7,183.56,0.0189,100.0
U0033,SUP1114,5.0,32,141.95,0.118,87.58
U0033,SUP1052,5.0,9,169.05,0.0607,92.02
U0033,SUP0326,4.0,8,78.07,0.1145,81.45
U0033,SUP0153,5.0,7,60.06,0.0366,97.88
U0033,SUP0737,5.0,10,92.36,0.0055,95.53
U0034,SUP1083,5.0,11,128.37,0.0,100.0
U0034,SUP1113,4.0,11,443.2,0.1266,79.32
U0034,SUP0094,5.0,15,83.72,0.063,93.1
