car_id,customer_id,brand,model,manufacture_year,color,fuel_type,transmission,engine_no,chassis_no,mileage_kmpl,price_inr,ownership,insurance_type,insurance_expiry,registration_date,city,state,country,active_status
CAR000001,CUST019424,Honda,City,2015,Silver,Petrol,Automatic,THB7MR0ABKMJWO,QGFFUV6T6JWR2EZUV,19.97,1484419,Second Owner,Comprehensive,15-01-2022,12-01-2020,Kolkata,West Bengal,India,INACTIVE
CAR000002,CUST015667,Audi,Q3,2003,Blue,Electric,Automatic,5L52YUIFIDGR7Y,3WB6N26NQTBC7N2YW,19.25,7126371,Second Owner,Comprehensive,26-06-2023,27-12-2024,Pune,Maharashtra,India,INACTIVE
CAR000003,CUST002033,Honda,CR-V,2021,Red,Electric,Manual,YY3AVP34ZTLP3G,HTBWSDCR5J7J778YN,34,8971384,Third Owner,Comprehensive,08-02-2023,19-10-2025,Chennai,Tamil Nadu,India,INACTIVE
CAR000004,CUST026195,BMW,X5,2018,White,Hybrid,Manual,BIE0M9RP0E27T2,7NO83X6S1AVZDT50Q,37.47,5593642,First Owner,Expired,27-08-2018,15-01-2020,Kolkata,West Bengal,India,ACTIVE
CAR000005,CUST059473,Honda,City,2000,White,Electric,Automatic,U48ANEYCRKLPSR,O9JHAFC0I0B87H9IB,17.22,5727015,Second Owner,Comprehensive,18-01-2013,14-09-2001,Mumbai,Maharashtra,India,ACTIVE
CAR000006,CUST061651,Toyota,Camry,2016,White,Diesel,Manual,6H74EQYM1DP3Y4,FZBFGB6J95ODQRPW9,11.86,2928539,Second Owner,Comprehensive,29-07-2021,05-01-2018,Pune,Maharashtra,India,INACTIVE
CAR000007,CUST015028,Hyundai,i10,2021,Blue,Hybrid,Automatic,MKO20HFH80E9LS,MEKAIPY2U5Q401ZBW,27.49,8209612,First Owner,Comprehensive,20-07-2021,08-09-2023,Mumbai,Maharashtra,India,INACTIVE
CAR000008,CUST058801,Honda,Amaze,2018,Silver,Hybrid,Manual,R6X3E9ONFEFU7X,7CRGKCCRYLZPN3SR7,25.12,4969732,Second Owner,Expired,21-10-2025,10-03-2018,Chennai,Tamil Nadu,India,INACTIVE
CAR000009,CUST005572,Honda,City,2000,Silver,Hybrid,Manual,1YUK4DXYVCYD41,36DVQB4J4KWDMCKK0,27.06,2363233,Third Owner,Comprehensive,29-03-2015,21-11-2004,Hyderabad,Telangana,India,INACTIVE
CAR000010,CUST050278,Honda,Amaze,2008,Red,Hybrid,Automatic,NE8YC6HM27UCM6,YL4ZEHVK6LE8NI8LJ,16.48,8310514,Third Owner,Third Party,15-04-2019,01-04-2025,Bangalore,Karnataka,India,INACTIVE
