interaction_id,car_id,customer_id,brand,transmission,interaction_type,interaction_channel,interaction_date,rating,sentiment,time_spent_minutes,issue_resolved,follow_up_required
INT0000001,CAR034595,CUST049744,Toyota,Automatic,App Login,Call Center,24-11-2024,4,Very Positive,235,FALSE,FALSE
INT0000002,CAR044633,CUST003582,Hyundai,Automatic,Insurance Renewal,Showroom,13-02-2021,5,Very Negative,151,TRUE,FALSE
INT0000003,CAR085005,CUST065515,Tata,Manual,Feedback Submission,Mobile App,19-01-2022,4,Negative,55,FALSE,TRUE
INT0000004,CAR010593,CUST052475,Toyota,Manual,Service Visit,Call Center,08-07-2020,2,Positive,136,TRUE,TRUE
INT0000005,CAR006067,CUST020123,Tata,Automatic,Insurance Renewal,Web,25-08-2018,3,Very Negative,90,FALSE,TRUE
INT0000006,CAR046569,CUST024344,Mahindra,Manual,Feedback Submission,Mobile App,11-12-2022,5,Neutral,25,TRUE,FALSE
INT0000007,CAR025152,CUST005798,Hyundai,Automatic,Customer Support Call,Showroom,01-11-2021,4,Neutral,75,FALSE,FALSE
INT0000008,CAR059799,CUST049881,BMW,Automatic,App Login,Mobile App,18-10-2022,1,Very Negative,127,FALSE,FALSE
INT0000009,CAR076139,CUST002032,Toyota,Manual,Feedback Submission,Call Center,27-09-2020,1,Very Negative,150,TRUE,TRUE
INT0000010,CAR071204,CUST066365,Honda,Manual,Insurance Renewal,Showroom,01-09-2021,2,Positive,115,TRUE,FALSE
INT0000011,CAR091303,CUST039144,Audi,Manual,Purchase Inquiry,Web,22-11-2021,1,Negative,209,TRUE,FALSE
INT0000012,CAR025487,CUST034846,BMW,Automatic,Feedback Submission,Web,07-08-2023,5,Very Positive,139,FALSE,TRUE
INT0000013,CAR007830,CUST019963,Mahindra,Automatic,Test Drive,Call Center,28-12-2025,4,Very Negative,39,FALSE,TRUE
INT0000014,CAR088342,CUST029666,BMW,Automatic,Service Visit,Call Center,17-01-2022,4,Very Positive,168,TRUE,FALSE
INT0000015,CAR011824,CUST013188,Tata,Automatic,Purchase Inquiry,Showroom,06-11-2020,5,Negative,153,TRUE,TRUE
INT0000016,CAR028244,CUST011508,Mahindra,Manual,Feedback Submission,Mobile App,22-12-2022,2,Negative,25,TRUE,TRUE
INT0000017,CAR056498,CUST026083,Honda,Automatic,Insurance Renewal,Call Center,08-04-2018,1,Positive,8,FALSE,FALSE
INT0000018,CAR032346,CUST007571,Honda,Automatic,App Login,Web,30-03-2018,4,Positive,41,FALSE,TRUE
INT0000019,CAR091297,CUST050918,Audi,Automatic,App Login,Web,29-05-2023,4,Negative,148,FALSE,TRUE
INT0000020,CAR068694,CUST002012,Honda,Automatic,Insurance Renewal,Showroom,20-10-2022,1,Neutral,13,TRUE,FALSE
INT0000021,CAR074816,CUST016158,Hyundai,Automatic,Purchase Inquiry,Mobile App,30-08-2020,5,Very Positive,142,TRUE,TRUE
INT0000022,CAR085647,CUST004337,Audi,Automatic,Customer Support Call,Call Center,17-12-2022,4,Negative,226,FALSE,TRUE
INT0000023,CAR009930,CUST025646,Mahindra,Automatic,Customer Support Call,Web,06-12-2021,3,Very Negative,213,TRUE,TRUE
INT0000024,CAR063660,CUST031966,Honda,Manual,Feedback Submission,Web,11-09-2018,2,Negative,71,TRUE,TRUE
INT0000025,CAR006109,CUST022696,Hyundai,Automatic,Service Visit,Mobile App,06-08-2021,1,Positive,32,TRUE,TRUE
INT0000026,CAR057877,CUST011070,Audi,Manual,Purchase Inquiry,Showroom,02-09-2023,1,Neutral,63,FALSE,FALSE
INT0000027,CAR092757,CUST066040,BMW,Automatic,Service Visit,Mobile App,31-03-2023,5,Positive,230,FALSE,TRUE
INT0000028,CAR064393,CUST061425,Audi,Manual,Service Visit,Showroom,18-12-2018,1,Very Positive,15,FALSE,TRUE
INT0000029,CAR020029,CUST054239,Toyota,Automatic,App Login,Mobile App,15-10-2021,5,Very Positive,51,TRUE,TRUE
INT0000030,CAR052258,CUST018048,Mahindra,Manual,Feedback Submission,Mobile App,22-04-2024,1,Positive,81,TRUE,TRUE
INT0000031,CAR037541,CUST019846,Mahindra,Manual,Customer Support Call,Showroom,09-08-2025,5,Neutral,155,FALSE,FALSE
INT0000032,CAR041934,CUST043681,Audi,Manual,Insurance Renewal,Web,01-10-2018,5,Very Negative,73,FALSE,TRUE
INT0000033,CAR057535,CUST007776,Hyundai,Automatic,Service Visit,Showroom,08-03-2020,1,Very Positive,35,TRUE,FALSE
INT0000034,CAR076724,CUST063315,Audi,Automatic,Test Drive,Showroom,28-10-2024,2,Neutral,120,FALSE,TRUE
INT0000035,CAR031326,CUST010047,Mahindra,Manual,Service Visit,Showroom,11-09-2020,3,Very Negative,166,TRUE,TRUE
INT0000036,CAR048714,CUST061112,Hyundai,Automatic,Purchase Inquiry,Web,07-02-2026,2,Neutral,179,FALSE,FALSE
INT0000037,CAR038975,CUST065658,Toyota,Automatic,Customer Support Call,Call Center,26-08-2020,3,Neutral,173,TRUE,TRUE
INT0000038,CAR083858,CUST021721,Hyundai,Manual,Customer Support Call,Web,20-11-2020,3,Very Positive,63,TRUE,FALSE
INT0000039,CAR016918,CUST040027,Tata,Manual,Feedback Submission,Showroom,28-05-2024,5,Very Positive,84,TRUE,TRUE
INT0000040,CAR010215,CUST008237,Mahindra,Manual,Purchase Inquiry,Web,21-11-2020,5,Very Negative,119,FALSE,TRUE
INT0000041,CAR027448,CUST061095,Mahindra,Manual,Service Visit,Mobile App,26-09-2021,2,Very Negative,169,TRUE,FALSE
INT0000042,CAR027059,CUST034694,BMW,Manual,Purchase Inquiry,Web,25-09-2021,1,Very Positive,51,FALSE,FALSE
INT0000043,CAR008481,CUST009602,Audi,Manual,Insurance Renewal,Call Center,28-03-2025,4,Neutral,170,TRUE,TRUE
INT0000044,CAR087021,CUST040495,Audi,Automatic,Feedback Submission,Mobile App,31-07-2019,2,Very Negative,123,FALSE,TRUE
INT0000045,CAR088807,CUST037182,Audi,Automatic,Feedback Submission,Mobile App,11-09-2020,5,Positive,165,TRUE,TRUE
INT0000046,CAR081572,CUST069134,Mahindra,Automatic,Feedback Submission,Showroom,21-09-2019,5,Negative,66,TRUE,TRUE
INT0000047,CAR052154,CUST017219,Mahindra,Manual,Test Drive,Web,26-01-2018,5,Positive,182,FALSE,TRUE
INT0000048,CAR061512,CUST037063,Audi,Automatic,Customer Support Call,Showroom,19-10-2020,4,Positive,153,FALSE,TRUE
INT0000049,CAR021861,CUST012138,Toyota,Automatic,Service Visit,Mobile App,27-03-2025,4,Neutral,88,TRUE,FALSE
INT0000050,CAR090170,CUST022477,Toyota,Automatic,App Login,Call Center,21-07-2020,1,Positive,107,TRUE,TRUE
INT0000051,CAR022335,CUST019140,Toyota,Automatic,Purchase Inquiry,Showroom,12-09-2023,2,Positive,6,FALSE,FALSE
INT0000052,CAR063039,CUST021334,Hyundai,Automatic,Insurance Renewal,Mobile App,16-12-2020,3,Negative,20,FALSE,FALSE
INT0000053,CAR058027,CUST015356,Toyota,Automatic,Customer Support Call,Web,14-04-2020,1,Very Negative,238,TRUE,FALSE
INT0000054,CAR007792,CUST009210,BMW,Manual,Test Drive,Call Center,10-07-2019,5,Positive,231,FALSE,TRUE
INT0000055,CAR001228,CUST008911,Audi,Automatic,Service Visit,Showroom,05-09-2021,4,Neutral,7,TRUE,TRUE
INT0000056,CAR004386,CUST026414,Mahindra,Manual,App Login,Web,14-01-2025,1,Negative,98,FALSE,TRUE
INT0000057,CAR017445,CUST047309,Hyundai,Manual,Customer Support Call,Showroom,30-10-2020,4,Negative,21,FALSE,FALSE
INT0000058,CAR079708,CUST040773,Mahindra,Automatic,Feedback Submission,Mobile App,16-10-2019,2,Positive,152,TRUE,TRUE
INT0000059,CAR006196,CUST043489,BMW,Manual,Insurance Renewal,Web,17-04-2023,3,Positive,92,FALSE,TRUE
INT0000060,CAR082613,CUST034970,Mahindra,Manual,Feedback Submission,Mobile App,10-06-2018,4,Negative,225,TRUE,TRUE
INT0000061,CAR039590,CUST068859,Honda,Manual,Feedback Submission,Showroom,08-09-2023,4,Negative,109,FALSE,FALSE
INT0000062,CAR033216,CUST022682,Toyota,Manual,Service Visit,Web,22-04-2018,2,Positive,237,FALSE,TRUE
INT0000063,CAR053768,CUST028745,Tata,Automatic,App Login,Showroom,06-01-2023,5,Negative,35,TRUE,TRUE
INT0000064,CAR021592,CUST062725,Mahindra,Manual,Service Visit,Mobile App,18-06-2025,4,Very Negative,149,TRUE,FALSE
INT0000065,CAR085077,CUST038230,Tata,Automatic,Feedback Submission,Call Center,01-02-2022,1,Very Negative,49,FALSE,TRUE
INT0000066,CAR031233,CUST027217,Tata,Manual,Purchase Inquiry,Mobile App,10-05-2023,5,Neutral,32,TRUE,TRUE
INT0000067,CAR020720,CUST062021,Audi,Manual,Insurance Renewal,Call Center,25-04-2024,3,Very Positive,23,FALSE,FALSE
INT0000068,CAR053660,CUST007430,Honda,Automatic,App Login,Web,08-02-2024,2,Very Negative,11,FALSE,TRUE
INT0000069,CAR029088,CUST011766,Tata,Automatic,Purchase Inquiry,Web,13-01-2025,3,Negative,74,FALSE,FALSE
INT0000070,CAR010389,CUST022437,Mahindra,Manual,Service Visit,Call Center,15-09-2021,4,Very Positive,123,FALSE,FALSE
INT0000071,CAR014279,CUST032979,Mahindra,Automatic,Test Drive,Showroom,20-02-2020,4,Very Negative,60,TRUE,TRUE
INT0000072,CAR006428,CUST022085,Honda,Manual,Test Drive,Showroom,19-11-2019,1,Very Positive,77,TRUE,FALSE
INT0000073,CAR047047,CUST029036,BMW,Automatic,Test Drive,Call Center,04-04-2020,5,Very Positive,103,TRUE,FALSE
INT0000074,CAR073346,CUST058500,Honda,Automatic,Insurance Renewal,Call Center,05-12-2024,5,Neutral,199,FALSE,TRUE
INT0000075,CAR049322,CUST015915,Mahindra,Manual,Customer Support Call,Call Center,03-05-2018,5,Negative,100,FALSE,TRUE
INT0000076,CAR068754,CUST009350,Tata,Manual,Customer Support Call,Showroom,01-07-2024,4,Neutral,199,FALSE,TRUE
INT0000077,CAR004095,CUST007121,Honda,Automatic,Purchase Inquiry,Call Center,01-07-2023,4,Very Positive,94,TRUE,FALSE
INT0000078,CAR003820,CUST021649,Audi,Manual,Feedback Submission,Showroom,12-12-2020,4,Negative,162,FALSE,TRUE
INT0000079,CAR071957,CUST035887,Hyundai,Manual,Insurance Renewal,Call Center,25-05-2020,5,Very Positive,12,FALSE,TRUE
INT0000080,CAR081705,CUST061153,Hyundai,Automatic,Test Drive,Showroom,25-02-2024,4,Very Negative,161,TRUE,TRUE
INT0000081,CAR000621,CUST044086,Audi,Automatic,Customer Support Call,Showroom,29-05-2024,2,Neutral,79,TRUE,TRUE
INT0000082,CAR038819,CUST013344,Audi,Automatic,Service Visit,Web,30-04-2023,2,Very Positive,14,FALSE,TRUE
INT0000083,CAR090814,CUST048871,Tata,Automatic,Feedback Submission,Web,01-03-2024,3,Negative,155,TRUE,FALSE
INT0000084,CAR047519,CUST006252,Hyundai,Automatic,Test Drive,Web,01-04-2024,2,Positive,113,FALSE,TRUE
INT0000085,CAR026395,CUST069023,Tata,Automatic,Insurance Renewal,Mobile App,04-08-2018,1,Negative,187,FALSE,FALSE
