user_id,item_id,rating
U01,C001,5
U01,C002,4
U01,C003,3
U01,C004,2
U01,C005,2
U01,C006,3
U01,C007,3
U01,C008,3
U01,C009,2
U01,C010,3
U01,C011,3
U01,C012,5
U02,C001,2
U02,C002,2
U02,C003,3
U02,C004,5
U02,C005,4
U02,C006,5
U02,C007,4
U02,C008,2
U02,C009,5
U02,C010,5
U02,C011,2
U02,C012,3
U03,C001,2
U03,C002,2
U03,C003,5
U03,C004,2
U03,C005,3
U03,C006,2
U03,C007,2
U03,C008,5
U03,C009,2
U03,C010,3
U03,C011,4
U03,C012,2
U04,C001,5
U04,C002,4
U04,C003,4
U04,C004,2
U04,C005,2
U04,C006,4
U04,C007,5
U04,C008,4
U04,C009,2
U04,C010,5
U04,C011,4
U04,C012,5
U05,C001,5
U05,C002,2
U05,C003,3
U05,C004,4
U05,C005,2
U05,C006,5
U05,C007,4
U05,C008,2
U05,C009,4
U05,C010,5
U05,C011,3
U05,C012,5
U06,C001,4
U06,C002,3
U06,C003,3
U06,C004,4
U06,C005,3
U06,C006,4
U06,C007,3
U06,C008,4
U06,C009,4
U06,C010,3
U06,C011,4
U06,C012,4
