item_id,item_title,genres,year,director,language,category
M001,The Shawshank Redemption,Drama Prison,1994,Frank Darabont,English,Drama
M002,The Godfather,Crime Drama,1972,Francis Ford Coppola,English,Crime
M003,The Dark Knight,Action Crime,2008,Christopher Nolan,English,Action
M004,Pulp Fiction,Crime Drama,1994,Quentin Tarantino,English,Crime
M005,Spirited Away,Animation Fantasy,2001,Hayao Miyazaki,Japanese,Fantasy
M006,Inception,Sci-Fi Action,2010,Christopher Nolan,English,Sci-Fi
M007,Interstellar,Sci-Fi Drama,2014,Christopher Nolan,English,Sci-Fi
M008,Parasite,Thriller Drama,2019,Bong Joon-ho,Korean,Thriller
M009,The Lord of the Rings: Fellowship of the Ring,Fantasy Adventure,2001,Peter Jackson,English,Fantasy
M010,The Matrix,Sci-Fi Action,1999,The Wachowskis,English,Sci-Fi
