user_id,item_id,rating
U01,M001,5
U01,M002,3
U01,M003,3
U01,M004,4
U01,M005,2
U01,M006,2
U01,M007,2
U01,M008,4
U01,M009,3
U01,M010,2
U02,M001,2
U02,M002,2
U02,M003,5
U02,M004,2
U02,M005,3
U02,M006,4
U02,M007,5
U02,M008,2
U02,M009,3
U02,M010,4
U03,M001,2
U03,M002,2
U03,M003,2
U03,M004,2
U03,M005,5
U03,M006,3
U03,M007,3
U03,M008,2
U03,M009,5
U03,M010,2
U04,M001,3
U04,M002,2
U04,M003,5
U04,M004,2
U04,M005,2
U04,M006,4
U04,M007,4
U04,M008,2
U04,M009,3
U04,M010,2
U05,M001,4
U05,M002,5
U05,M003,2
U05,M004,5
U05,M005,2
U05,M006,2
U05,M007,2
U05,M008,4
U05,M009,2
U05,M010,3
U06,M001,3
U06,M002,3
U06,M003,4
U06,M004,3
U06,M005,2
U06,M006,3
U06,M007,4
U06,M008,3
U06,M009,3
U06,M010,4
